step,best_objective,avg_acceptance_rate,std,temperature,runtime
0,-51481.0918,0.7125,1258.3612,2516.7224,0.0111
1,-49688.7542,0.805,1298.1498,819.5028,0.0335
2,-48300.0179,0.8,530.5782,502.1887,0.0564
3,-47164.7544,0.7725,418.143,383.946,0.0787
4,-45781.5094,0.75,719.9722,371.9709,0.1011
5,-44948.4898,0.765,733.5804,360.6853,0.1226
6,-43856.7266,0.7375,598.022,343.9629,0.1452
7,-42751.6408,0.71,366.489,284.0643,0.1675
8,-41925.705,0.6975,420.5284,260.9742,0.1897
9,-40079.8977,0.695,296.69,216.605,0.2118
10,-39304.3643,0.6225,573.9906,213.1265,0.2344
11,-37846.3693,0.575,291.1397,185.8576,0.2567
12,-37382.2631,0.555,607.0913,183.7009,0.2794
13,-35868.3909,0.5175,272.7376,162.7592,0.3021
14,-35269.4534,0.485,461.682,159.6909,0.3245
15,-34526.4188,0.4975,490.8142,157.2624,0.3469
16,-33702.1466,0.485,200.9014,129.5912,0.3696
17,-33117.5066,0.45,210.6147,117.3362,0.3925
18,-32965.534,0.4125,278.0565,113.4712,0.4163
19,-32419.0355,0.3875,292.9069,110.5659,0.4402
20,-31370.7908,0.35,308.4875,108.3349,0.4639
21,-30911.0751,0.3,399.1589,107.4019,0.4879
22,-30268.778,0.265,173.0102,97.874,0.5163
23,-29271.5696,0.27,194.3451,93.3382,0.5444
24,-28291.3923,0.255,446.9998,93.0125,0.5732
25,-27511.8055,0.245,361.7616,92.4284,0.5968
26,-26746.8311,0.245,331.3379,91.7063,0.6203
27,-26468.7667,0.24,289.8506,90.6647,0.644
28,-26213.4802,0.2325,173.166,86.2336,0.6674
29,-25948.128,0.2125,79.6054,59.6437,0.6918
30,-25497.883,0.2125,98.9789,55.6275,0.716
31,-24584.064,0.2075,151.4311,54.7323,0.7402
32,-24381.5889,0.2175,314.1532,54.6386,0.7638
33,-23913.5354,0.2075,91.9536,51.0475,0.7872
34,-23471.3993,0.2,136.1419,50.189,0.8104
35,-23382.3816,0.1725,147.2511,49.5687,0.8338
36,-23179.1429,0.1525,31.4284,23.4914,0.8572
37,-22858.4062,0.145,60.0233,23.1353,0.8818
38,-22544.3425,0.125,119.6167,23.0941,0.9082
39,-22350.0012,0.12,105.2746,23.0412,0.9354
40,-22214.4282,0.12,80.8136,22.9294,0.9593
41,-21744.2635,0.1275,73.024,22.781,0.9835
42,-21278.832,0.115,153.6131,22.7646,1.0098
43,-21080.518,0.1175,170.6399,22.7536,1.0374
44,-20634.5109,0.1175,60.5584,22.507,1.0611
45,-20362.2319,0.12,168.9232,22.496,1.0852
46,-20311.3723,0.1075,96.1347,22.4356,1.1097
47,-20184.1149,0.0975,31.2328,20.9503,1.1338
48,-19647.3907,0.1,61.6727,20.8071,1.1577
49,-19499.5921,0.0925,186.6655,20.8019,1.1815
50,-19372.777,0.085,61.3224,20.6668,1.2051
51,-18995.9073,0.0875,42.2187,20.2972,1.2294
52,-18713.4996,0.0925,103.9341,20.2731,1.2759
53,-18608.7484,0.0825,166.3353,20.267,1.3223
54,-18469.7752,0.0725,49.25,20.0558,1.4148
55,-18090.1777,0.07,53.5918,19.9156,1.4816
56,-18072.222,0.06,165.9731,19.9111,1.5436
57,-17876.0792,0.0425,21.3086,18.2346,1.6359
58,-17814.1099,0.0425,0.0,18.2346,1.6534
59,-17750.0073,0.0475,17.2747,16.6423,1.6714
60,-17450.0506,0.05,29.4403,16.3748,1.6972
61,-17265.9475,0.055,104.0744,16.3688,1.7231
62,-17265.9475,0.0525,39.7064,16.2505,1.7447
63,-16998.6428,0.06,39.7064,16.2505,1.7704
64,-16899.6552,0.055,82.8189,16.2367,1.7913
65,-16660.1741,0.0475,26.5023,15.8579,1.818
66,-16397.243,0.0525,97.7947,15.8518,1.8435
67,-16397.243,0.06,95.7058,15.8447,1.8652
68,-16236.5926,0.0475,23.0009,15.2817,1.884
69,-16170.7605,0.05,21.5632,14.8051,1.9003
70,-16040.6103,0.0525,35.3829,14.7029,1.919
71,-16040.6103,0.04,45.0,14.6521,1.9424
72,-16004.721,0.045,0.0,14.6521,1.9674
73,-15820.4409,0.045,21.0352,14.2387,1.9969
74,-15759.4976,0.045,69.7437,14.2283,2.0194
75,-15607.3327,0.05,50.097,14.2004,2.0395
76,-15507.1411,0.0625,48.8667,14.1673,2.0621
77,-15423.7822,0.0625,36.8261,14.0735,2.0851
78,-15378.7722,0.06,48.8233,14.0342,2.1126
79,-15344.9174,0.0625,10.7568,11.2249,2.142
80,-15234.0901,0.06,22.1777,11.0571,2.1671
81,-15139.3706,0.055,46.4975,11.0404,2.1927
82,-15118.7705,0.0525,36.8531,11.0096,2.2158
83,-15025.1144,0.055,8.4581,9.0298,2.2387
84,-14739.7755,0.055,26.7996,8.9941,2.2621
85,-14596.4764,0.0475,105.2513,8.9935,2.291
86,-14364.1535,0.0425,44.3674,8.9867,2.3143
87,-14205.4687,0.0375,91.6624,8.986,2.3354
88,-14181.2265,0.0325,75.2005,8.9849,2.359
89,-14067.2045,0.03,0.0,8.9849,2.3814
90,-14041.0424,0.0275,43.8044,8.9804,2.4051
91,-14002.0145,0.0275,10.9189,8.721,2.4322
92,-13908.2946,0.0325,10.0571,8.4271,2.4622
93,-13761.6728,0.04,38.9692,8.4217,2.4855
94,-13577.9287,0.0375,53.1341,8.4192,2.5104
95,-13577.9287,0.035,78.7511,8.4184,2.5337
96,-13488.3136,0.0375,0.0,8.4184,2.5568
97,-13351.8077,0.035,32.6504,8.408,2.5821
98,-13252.5436,0.03,32.9718,8.3986,2.614
99,-13198.6738,0.025,24.6353,8.3793,2.6427
100,-13112.2838,0.03,0.0,8.3793,2.6709
101,-13081.3428,0.0325,33.7756,8.3719,2.6966
102,-12883.3424,0.0325,8.6364,7.9184,2.7304
103,-12779.6006,0.035,87.0986,7.918,2.7585
104,-12731.7688,0.0375,40.7436,7.9141,2.792
105,-12661.3498,0.0325,19.9487,7.8786,2.8182
106,-12571.4244,0.0325,0.0,7.8786,2.8486
107,-12445.4689,0.03,44.0023,7.8758,2.8776
108,-12445.4689,0.0225,27.5055,7.865,2.9057
109,-12414.9153,0.02,27.5055,7.865,2.9351
110,-12381.7803,0.02,0.0,7.865,2.9663
111,-12336.6975,0.0175,0.0,7.865,2.9962
112,-12285.1771,0.025,17.4162,7.8402,3.0264
113,-12285.1771,0.0275,21.2808,7.8211,3.0581
114,-12285.1771,0.025,0.0,7.8211,3.0871
115,-12283.378,0.025,0.0,7.8211,3.1164
116,-12175.7248,0.0225,0.0,7.8211,3.1409
117,-12067.7759,0.015,65.1375,7.8205,3.169
118,-12020.0779,0.02,56.7323,7.8199,3.1982
119,-12016.454,0.025,19.4444,7.8,3.233
120,-12012.1706,0.025,1.4008,0.8285,3.2645
121,-11923.9996,0.0275,0.0,0.8285,3.2979
122,-11846.3958,0.03,29.2972,0.8285,3.3261
123,-11819.6409,0.0275,24.8935,0.8285,3.3517
124,-11775.4186,0.0275,7.9734,0.8284,3.3742
125,-11764.4886,0.0275,9.0778,0.8284,3.3978
126,-11764.4886,0.02,0.0,0.8284,3.4213
127,-11764.4886,0.0125,0.0,0.8284,3.442
128,-11703.6813,0.01,0.0,0.8284,3.4674
129,-11692.434,0.0075,0.0,0.8284,3.4915
130,-11692.434,0.005,0.0,0.8284,3.5175
131,-11647.7817,0.0075,0.0,0.8284,3.5415
132,-11647.7817,0.0075,0.0,0.8284,3.5655
133,-11492.2722,0.0125,0.0,0.8284,3.5856
134,-11412.7142,0.0125,64.3564,0.8284,3.6081
135,-11412.7142,0.0125,0.0,0.8284,3.6302
136,-11412.7142,0.01,0.0,0.8284,3.6529
137,-11333.3932,0.0125,0.0,0.8284,3.6777
138,-11333.3932,0.005,0.0,0.8284,3.7043
139,-11278.7286,0.01,0.0,0.8284,3.726
140,-11278.7286,0.01,24.1692,0.8284,3.7478
