step,best_objective,avg_acceptance_rate,std,temperature,runtime
0,-49100.1645,0.8125,1398.5206,2797.0411,0.0104
1,-47543.6865,0.8675,1627.8652,1535.1199,0.0357
2,-46620.8918,0.8725,1045.8204,1180.454,0.0585
3,-45038.9674,0.8625,628.5845,741.8866,0.081
4,-44155.4384,0.85,545.5298,591.816,0.1043
5,-43675.8733,0.8425,687.6327,551.1653,0.1303
6,-41764.3293,0.7775,276.7924,277.6251,0.157
7,-41428.9037,0.715,572.4647,271.2505,0.1839
8,-40875.3425,0.66,474.9034,257.7375,0.2063
9,-39753.4185,0.62,351.7657,227.3405,0.2298
10,-38957.948,0.56,435.838,215.8208,0.2526
11,-37670.4406,0.54,212.8015,150.2586,0.2761
12,-36747.894,0.5175,478.5761,148.2904,0.2982
13,-35870.6559,0.4675,346.2594,143.3524,0.3281
14,-34646.318,0.4325,286.1963,135.6546,0.3578
15,-33395.9086,0.4225,420.9355,133.6263,0.3865
16,-33140.6315,0.395,354.1792,130.4527,0.4154
17,-32548.8143,0.3775,213.2687,118.2965,0.4453
18,-31978.199,0.375,204.335,108.9027,0.4697
19,-31780.9247,0.3525,330.8916,107.2066,0.4983
20,-30534.49,0.3375,281.8402,104.6966,0.5246
21,-30099.8641,0.32,364.853,103.6466,0.5555
22,-29647.4937,0.2825,145.9383,90.1084,0.5855
23,-28986.8223,0.28,220.6116,87.75,0.6084
24,-28483.615,0.27,295.0276,86.853,0.6381
25,-28048.4108,0.2525,196.0211,84.0414,0.6685
26,-27315.9723,0.2525,149.2018,78.8341,0.6999
27,-26836.9815,0.2675,225.4743,77.6081,0.7301
28,-26129.5581,0.26,201.6203,75.9511,0.7607
29,-25729.7959,0.255,259.403,75.2406,0.7916
30,-25372.4508,0.245,147.5003,71.7017,0.8208
31,-24893.6544,0.2325,159.6379,69.42,0.8505
32,-24725.6359,0.2125,170.9408,67.8268,0.8816
33,-24331.397,0.1925,58.3313,44.6597,0.9122
34,-24154.3859,0.17,125.8902,44.0552,0.9404
35,-23940.7974,0.15,84.2112,42.3584,0.9695
36,-23774.8754,0.14,77.3701,40.6679,0.997
37,-23427.1807,0.14,83.4474,39.5712,1.0266
38,-23229.7985,0.1275,111.1703,39.1485,1.0561
39,-22921.3345,0.1225,73.4208,37.8769,1.0874
40,-22712.4103,0.12,112.4145,37.5692,1.1212
41,-22203.2915,0.1275,74.1509,36.5688,1.1499
42,-21855.4732,0.1225,218.0288,36.5306,1.1768
43,-21566.4893,0.13,108.0861,36.2312,1.2037
44,-21115.0609,0.1475,125.9609,36.0381,1.2329
45,-20973.3434,0.155,157.8904,35.9314,1.2567
46,-20651.8466,0.1425,50.9432,32.9263,1.2841
47,-20467.0772,0.135,122.6561,32.7723,1.3083
48,-20439.7325,0.135,78.5926,32.2294,1.3403
49,-20256.4558,0.1125,58.2461,31.0089,1.3706
50,-20071.5613,0.1025,70.9092,30.5014,1.399
51,-19758.1748,0.1025,35.841,27.403,1.4276
52,-19649.6957,0.09,92.4507,27.2727,1.45
53,-19419.7549,0.0775,35.2956,25.3605,1.4788
54,-19167.6662,0.07,71.5493,25.2003,1.5068
55,-19080.7639,0.07,66.8451,25.026,1.534
56,-19080.7639,0.0525,36.9843,24.0568,1.561
57,-18957.2868,0.0625,19.0501,20.0439,1.5925
58,-18630.9718,0.0675,49.9698,19.8936,1.6245
59,-18559.5294,0.065,112.2213,19.8797,1.6532
60,-18472.4787,0.0575,49.0366,19.7201,1.6812
61,-18290.1412,0.06,37.4115,19.4122,1.7089
62,-18065.5246,0.065,72.0776,19.3696,1.732
63,-17941.7276,0.0675,88.4268,19.3449,1.755
64,-17847.6106,0.0775,39.078,19.0543,1.7777
65,-17446.1019,0.0825,31.7814,18.4856,1.8007
66,-17226.404,0.085,139.6502,18.4791,1.8233
67,-17065.5491,0.0775,53.3611,18.3607,1.8453
68,-16927.7729,0.0675,69.8725,18.3133,1.8678
69,-16854.9214,0.0675,66.0821,18.2644,1.8906
70,-16585.5986,0.0625,29.2064,17.7195,1.9127
71,-16528.984,0.06,118.8409,17.7127,1.9427
72,-16328.6892,0.0625,26.2796,17.1219,1.9686
73,-16130.6123,0.0625,58.0762,17.0707,1.994
74,-16100.1912,0.0525,37.6504,16.8864,2.0193
75,-16007.6853,0.055,14.2041,14.4694,2.0495
76,-15892.9853,0.0575,37.111,14.3809,2.0784
77,-15870.3952,0.05,40.4064,14.311,2.102
78,-15719.8218,0.05,65.6815,14.297,2.1264
79,-15652.1782,0.0525,60.4389,14.279,2.1541
