step,best_objective,avg_acceptance_rate,std,temperature,runtime
0,-48469.5582,0.7875,2216.3196,4432.6392,0.0122
1,-47261.3835,0.8825,2567.4202,2220.9349,0.0383
2,-45685.0304,0.8325,528.7362,327.3478,0.0612
3,-43759.3385,0.79,532.7356,317.2577,0.0848
4,-42314.6124,0.77,642.341,310.1442,0.1133
5,-41275.3844,0.7425,766.3758,305.779,0.1416
6,-40949.0226,0.6475,433.1995,281.1513,0.1679
7,-40066.2297,0.5975,284.7997,210.0475,0.1933
8,-39705.7446,0.5725,395.5003,198.3499,0.2189
9,-38777.6132,0.51,335.3011,182.8058,0.2443
10,-38123.1424,0.485,294.6784,165.3838,0.2731
11,-37770.8527,0.4825,254.9768,147.3551,0.2979
12,-36695.932,0.4625,182.303,119.1169,0.3213
13,-35808.7977,0.455,340.9463,116.8633,0.3417
14,-34689.815,0.48,358.9709,115.0651,0.3669
15,-33866.2826,0.46,349.157,113.2436,0.3916
16,-32546.2171,0.4575,265.1579,109.388,0.412
17,-32203.392,0.4475,347.0572,107.8591,0.44
18,-31542.1517,0.405,191.0496,99.723,0.4663
19,-31029.7875,0.3825,211.1619,95.202,0.4881
20,-30234.4963,0.3575,210.3876,91.4241,0.517
21,-29414.3455,0.3225,286.7171,90.1451,0.5453
22,-29066.2272,0.3,374.0834,89.6174,0.5722
23,-28892.0788,0.315,283.2797,88.4775,0.597
24,-28500.2977,0.2825,100.7257,69.0008,0.6222
25,-28189.7843,0.2625,160.0925,66.8885,0.6456
26,-27792.5617,0.2375,109.4577,61.5724,0.6699
27,-27118.3436,0.2475,137.2672,59.6577,0.6967
28,-26694.7033,0.23,180.3622,58.8799,0.7229
29,-26151.5878,0.22,149.3633,57.6501,0.7494
30,-25900.7369,0.2175,149.9306,56.5634,0.7759
31,-25382.0371,0.225,109.4483,54.0612,0.8028
32,-25100.5159,0.2025,143.3559,53.0842,0.8266
33,-24916.1441,0.1675,115.6212,51.495,0.848
34,-24550.1709,0.1825,78.5579,47.7737,0.874
35,-24074.3323,0.1775,147.181,47.2959,0.9006
36,-23606.9811,0.17,173.819,47.0219,0.9222
37,-23151.0265,0.1675,135.1871,46.4748,0.9439
38,-22919.7079,0.18,124.991,45.8233,0.9707
39,-22751.1898,0.1525,78.466,43.3023,0.9979
40,-22386.4782,0.1475,121.092,42.7999,1.0253
41,-22056.4138,0.1375,191.5936,42.681,1.0523
42,-21572.2679,0.14,109.4361,42.0919,1.0781
43,-21552.0016,0.1175,152.3862,41.8806,1.0997
44,-21399.5886,0.125,23.0449,18.6972,1.1245
45,-20945.7595,0.12,60.3995,18.5772,1.1502
46,-20813.7877,0.1125,171.2619,18.5722,1.1746
47,-20606.3567,0.095,47.6256,18.3556,1.199
48,-20464.275,0.105,99.1165,18.3356,1.2242
49,-20159.9719,0.1,29.4431,17.5418,1.2502
50,-19881.9172,0.11,107.6257,17.5282,1.2762
51,-19652.3007,0.105,102.1151,17.5109,1.298
52,-19458.8848,0.105,79.8302,17.4764,1.3181
53,-19347.2034,0.0975,67.1374,17.4188,1.3389
54,-19261.0112,0.085,50.2788,17.2926,1.3606
55,-19004.5332,0.0725,37.4638,17.0325,1.3814
56,-18912.7997,0.0725,104.926,17.0228,1.4071
57,-18545.6706,0.0675,30.4041,16.6308,1.4351
58,-18419.2811,0.0675,154.2526,16.6282,1.4608
59,-18230.6051,0.075,55.2188,16.5713,1.4807
60,-18008.7294,0.0675,69.5099,16.5402,1.5007
61,-17974.6936,0.065,85.178,16.525,1.5207
62,-17766.096,0.0675,11.4953,12.1446,1.5407
63,-17467.1523,0.0675,41.9768,12.1078,1.5604
64,-17400.3037,0.055,103.7892,12.1054,1.583
65,-17310.8615,0.06,7.9846,8.8883,1.6066
66,-16881.4707,0.0625,27.8709,8.8559,1.6301
67,-16723.2286,0.07,150.8982,8.8557,1.6533
68,-16629.5368,0.0675,52.5626,8.8502,1.6764
69,-16243.5306,0.065,36.6744,8.8346,1.6998
70,-16058.5995,0.0575,182.5146,8.8345,1.7236
71,-16002.2885,0.055,65.4065,8.8321,1.7465
72,-15893.9077,0.0425,20.3284,8.7575,1.7805
73,-15836.38,0.04,40.6476,8.7504,1.809
74,-15456.0771,0.0475,25.4533,8.7232,1.8408
75,-15285.2389,0.0475,168.1651,8.7231,1.8698
76,-15264.0787,0.04,58.7422,8.7205,1.8986
77,-15148.2171,0.045,0.0,8.7205,1.9279
78,-15019.5834,0.05,62.8346,8.7185,1.9561
79,-15004.3852,0.0425,40.4922,8.7102,1.9837
80,-14890.6215,0.045,11.4953,8.4125,2.0125
81,-14763.4259,0.055,35.6909,8.4031,2.0422
82,-14537.732,0.0575,9.9686,7.9109,2.0687
83,-14474.5088,0.05,85.6346,7.9102,2.0932
84,-14474.5088,0.045,40.1029,7.9045,2.121
85,-14460.1789,0.04,40.1029,7.9045,2.1509
86,-14428.9567,0.0325,15.4845,7.8246,2.2207
87,-14381.743,0.0225,28.2844,7.8142,2.2631
88,-14280.3975,0.03,24.8463,7.8035,2.3233
89,-14275.5571,0.0325,34.8745,7.7984,2.3457
90,-14081.1105,0.035,0.0,7.7984,2.3593
91,-14081.1105,0.0325,61.6856,7.7973,2.3797
92,-14066.3232,0.035,0.0,7.7973,2.4078
93,-13942.3974,0.0275,12.1035,7.659,2.4369
94,-13715.1567,0.0325,44.3193,7.6569,2.4656
95,-13642.7459,0.0275,106.3254,7.6568,2.4932
96,-13625.5138,0.03,34.7465,7.6524,2.5168
97,-13495.9053,0.03,6.5865,7.0125,2.546
98,-13433.0093,0.03,62.4042,7.0119,2.5696
99,-13433.0093,0.025,8.5072,6.7906,2.5968
100,-13296.797,0.0275,0.0,6.7906,2.6203
101,-13259.7162,0.0375,61.1723,6.7901,2.6442
102,-13198.2911,0.0375,15.222,6.7469,2.6675
103,-13111.651,0.0375,22.1946,6.7333,2.6912
104,-13034.623,0.04,0.4433,0.0265,2.721
105,-13000.9105,0.035,30.6078,0.0265,2.7447
106,-12880.9266,0.025,0.0,0.0265,2.7741
107,-12880.9266,0.0175,16.0912,0.0265,2.7978
108,-12880.9266,0.0125,16.0912,0.0265,2.8255
109,-12843.1628,0.015,16.0912,0.0265,2.8486
110,-12843.1628,0.0125,13.8721,0.0265,2.8733
111,-12766.879,0.015,13.8721,0.0265,2.9011
112,-12766.879,0.015,24.8265,0.0265,2.9253
113,-12766.879,0.015,24.8265,0.0265,2.9513
114,-12653.4614,0.0175,24.8265,0.0265,2.9746
115,-12588.2021,0.0225,37.2393,0.0265,3.0047
116,-12567.3827,0.0175,0.0787,0.0265,3.0287
117,-12468.5401,0.0225,0.0,0.0265,3.0571
118,-12373.1743,0.0275,49.3271,0.0265,3.0866
119,-12148.4255,0.0225,32.6718,0.0265,3.1174
120,-12148.4255,0.0175,94.2902,0.0265,3.1468
121,-12148.4255,0.015,94.2902,0.0265,3.1839
122,-12142.0145,0.0125,94.2902,0.0265,3.2072
123,-12093.9394,0.015,0.0,0.0265,3.2361
124,-12001.8153,0.0125,17.0739,0.0265,3.259
125,-11863.4566,0.02,0.0,0.0265,3.2847
126,-11863.4566,0.02,41.032,0.0265,3.3084
127,-11791.1545,0.025,41.032,0.0265,3.332
