step,best_objective,avg_acceptance_rate,std,temperature,runtime
0,-51074.4541,0.6875,791.8094,1583.6187,0.013
1,-49791.7986,0.775,1023.6358,735.0415,0.0395
2,-47616.6261,0.78,427.913,356.796,0.063
3,-46127.2375,0.75,665.0966,345.9582,0.0948
4,-45323.3579,0.7225,529.4545,324.2476,0.1217
5,-44311.2782,0.715,365.1704,272.2641,0.148
6,-43355.9382,0.68,348.003,239.9349,0.1701
7,-42314.1478,0.6325,373.3325,221.165,0.1975
8,-40845.8107,0.6325,428.3306,210.5719,0.2235
9,-39750.7162,0.63,511.8337,205.3466,0.2458
10,-38982.9066,0.6025,490.5686,199.9554,0.2726
11,-37616.3079,0.5725,310.5593,181.1052,0.2961
12,-36591.2739,0.565,494.9463,177.5327,0.3178
13,-35854.8043,0.515,414.3335,171.9155,0.3462
14,-35632.2001,0.4725,383.0675,165.3474,0.3696
15,-34461.6076,0.46,251.9674,146.664,0.3929
16,-33703.8187,0.42,408.5629,143.6571,0.4219
17,-33229.2841,0.39,374.7178,140.0832,0.4499
18,-32645.1828,0.38,242.3852,128.9358,0.4758
19,-32009.5157,0.3725,207.6794,116.5202,0.4994
20,-31359.5112,0.345,232.6094,110.3742,0.5268
21,-30631.1497,0.35,290.772,107.8247,0.5513
22,-29508.6947,0.33,234.3307,103.4455,0.5823
23,-29313.9348,0.3075,306.1005,101.7763,0.6096
24,-28955.3512,0.2825,217.2982,97.6445,0.6355
25,-28624.836,0.285,158.5071,89.4012,0.6622
26,-28009.056,0.255,152.1602,82.7498,0.692
27,-27495.6658,0.2475,196.3087,80.5076,0.7188
28,-27323.5238,0.22,172.7496,77.6388,0.7421
29,-26768.4768,0.225,97.3886,66.2884,0.7713
30,-26104.4966,0.1825,173.0921,65.0349,0.7996
31,-25919.042,0.18,262.3512,64.7436,0.8278
32,-25707.4495,0.1825,156.8134,63.4385,0.8519
33,-25390.3746,0.1875,131.1141,61.3848,0.8767
34,-25134.9023,0.165,153.9044,60.2328,0.905
35,-24597.5358,0.18,127.4488,58.5437,0.9309
36,-24569.8439,0.17,219.4664,58.2207,0.9579
37,-24249.0484,0.1625,49.8154,40.2461,0.9853
38,-23973.2332,0.175,124.431,39.8817,1.012
39,-23728.9975,0.175,120.0093,39.4673,1.0381
40,-23616.4979,0.1575,81.7123,38.2347,1.062
41,-22696.0637,0.1675,41.5444,31.7204,1.0897
42,-22246.8475,0.1625,236.0897,31.6991,1.1149
43,-22044.6421,0.145,145.1813,31.6103,1.1384
44,-21775.7349,0.1375,66.6577,30.8008,1.1678
45,-21666.1816,0.13,115.8113,30.6647,1.1929
46,-21488.9736,0.1175,34.3311,26.4257,1.2165
47,-21346.5394,0.0975,49.9555,25.6416,1.2446
48,-21282.7302,0.0825,73.1045,25.4488,1.2709
49,-21012.8898,0.09,41.1182,24.5687,1.295
50,-20771.2949,0.0925,98.4561,24.5064,1.3246
51,-20404.8563,0.08,106.1175,24.456,1.3554
52,-20047.6273,0.09,142.4191,24.4378,1.389
53,-19873.8202,0.0975,121.2873,24.4052,1.4151
54,-19744.8576,0.09,66.0842,24.1913,1.4461
55,-19578.5024,0.0925,38.0107,23.2133,1.4722
56,-19425.285,0.0975,50.4387,22.8404,1.4986
57,-19291.2903,0.0825,56.1078,22.5731,1.5291
58,-19144.7974,0.085,54.592,22.3345,1.5568
59,-19125.7179,0.07,65.6408,22.1987,1.582
60,-18992.4694,0.065,0.3933,0.0009,1.6116
61,-18894.3208,0.055,55.1259,0.0009,1.6371
62,-18708.4794,0.055,31.7271,0.0009,1.666
63,-18627.3065,0.04,63.3178,0.0009,1.6904
64,-18030.7407,0.0575,0.0,0.0009,1.7184
65,-17722.5075,0.055,204.562,0.0009,1.7505
66,-17639.0961,0.06,85.7845,0.0009,1.7775
67,-17538.2407,0.0625,29.0703,0.0009,1.8072
68,-17400.8993,0.0725,41.7771,0.0009,1.8307
69,-17299.7661,0.0625,34.0125,0.0009,1.8605
70,-17223.4177,0.065,29.0559,0.0009,1.8839
71,-17087.6639,0.065,29.1489,0.0009,1.9124
72,-16971.8461,0.065,46.8985,0.0009,1.941
73,-16963.37,0.0575,29.4793,0.0009,1.9674
74,-16688.4854,0.0675,0.165,0.0009,1.9909
75,-16636.0596,0.0625,77.0445,0.0009,2.0191
76,-16547.6756,0.0575,11.5536,0.0009,2.0562
77,-16496.4187,0.0475,26.0845,0.0009,2.0798
78,-16430.7181,0.055,0.0,0.0009,2.1309
79,-16282.3433,0.04,20.0039,0.0009,2.1513
80,-16203.8327,0.0375,45.2743,0.0009,2.1779
81,-16164.5551,0.0375,1.3229,0.0009,2.2091
82,-16164.5551,0.035,14.812,0.0009,2.2257
83,-15901.1672,0.0375,14.812,0.0009,2.2416
84,-15658.9815,0.04,95.1163,0.0009,2.2571
85,-15602.4722,0.045,99.4566,0.0009,2.2803
86,-15254.7852,0.045,17.4378,0.0009,2.304
87,-14957.1431,0.0525,133.9873,0.0009,2.3282
88,-14941.5775,0.0425,61.9413,0.0009,2.3518
89,-14837.1505,0.045,5.8374,0.0009,2.3843
90,-14734.1651,0.0425,41.6932,0.0009,2.4141
91,-14644.6652,0.0425,45.3611,0.0009,2.4467
92,-14593.596,0.045,29.8396,0.0009,2.4757
93,-14525.4143,0.05,20.5913,0.0009,2.5028
94,-14396.2537,0.0525,20.6478,0.0009,2.5317
95,-14307.8903,0.0525,38.9376,0.0009,2.5604
96,-14229.2465,0.045,33.8057,0.0009,2.584
97,-14217.0764,0.04,0.0,0.0009,2.6121
98,-13936.9254,0.0375,5.2731,0.0009,2.641
99,-13867.6254,0.0325,111.3566,0.0009,2.668
100,-13867.6254,0.025,20.9398,0.0009,2.6971
101,-13820.5883,0.0275,20.9398,0.0009,2.7236
102,-13805.3601,0.0275,19.7219,0.0009,2.7475
103,-13742.0515,0.0225,1.1023,0.0009,2.7752
104,-13571.881,0.0225,0.0,0.0009,2.8047
105,-13554.3324,0.0275,64.2743,0.0009,2.8284
106,-13510.4313,0.0275,1.5979,0.0009,2.8599
107,-13459.6795,0.03,15.7051,0.0009,2.8893
108,-13378.8328,0.035,15.8777,0.0009,2.9185
109,-13361.1724,0.0275,30.5703,0.0009,2.948
110,-13186.3185,0.0275,0.0,0.0009,2.9785
111,-13024.3911,0.0325,10.0407,0.0009,3.0036
112,-12970.2421,0.0275,53.9003,0.0009,3.0285
113,-12970.2421,0.02,0.0,0.0009,3.0564
114,-12954.2273,0.02,0.0,0.0009,3.0843
115,-12894.1579,0.0225,0.0,0.0009,3.1075
116,-12830.1251,0.0175,23.1504,0.0009,3.1376
117,-12755.1884,0.02,31.1956,0.0009,3.1665
118,-12746.6618,0.0225,11.7788,0.0009,3.1965
119,-12746.6618,0.02,0.0,0.0009,3.2197
120,-12718.4458,0.0225,0.0,0.0009,3.2474
121,-12686.2663,0.0225,10.664,0.0009,3.276
122,-12603.8744,0.025,12.3717,0.0009,3.3036
123,-12603.8744,0.0225,31.8932,0.0009,3.3269
124,-12529.9852,0.0275,31.8932,0.0009,3.3503
125,-12529.9852,0.0175,28.197,0.0009,3.378
126,-12469.5355,0.0225,28.197,0.0009,3.4008
127,-12414.1832,0.02,21.5908,0.0009,3.4289
128,-12322.6832,0.025,10.6621,0.0009,3.455
129,-12240.7075,0.0275,8.6507,0.0009,3.4782
130,-12152.5661,0.03,33.4826,0.0009,3.5062
131,-12059.5763,0.0225,0.0,0.0009,3.5374
132,-12036.9972,0.02,0.0,0.0009,3.5654
133,-12018.0228,0.02,0.0,0.0009,3.5932
134,-11947.51,0.0175,8.2971,0.0009,3.6237
135,-11914.1653,0.0175,5.7962,0.0009,3.6501
136,-11808.9227,0.0225,0.0,0.0009,3.6786
137,-11690.411,0.03,46.4172,0.0009,3.7026
138,-11690.411,0.025,42.2422,0.0009,3.7266
139,-11689.0328,0.0225,42.2422,0.0009,3.7501
140,-11649.6603,0.025,0.0,0.0009,3.7737
141,-11590.5125,0.0225,17.2005,0.0009,3.8014
142,-11488.9206,0.0175,13.9343,0.0009,3.8252
143,-11415.9682,0.0225,44.8836,0.0009,3.8492
144,-11396.7808,0.0225,19.5592,0.0009,3.8733
145,-11357.6559,0.02,0.0,0.0009,3.8966
146,-11357.6559,0.015,0.0,0.0009,3.9259
147,-11221.6831,0.0125,0.0,0.0009,3.9489
148,-11165.0798,0.01,0.0,0.0009,3.9759
149,-11093.2013,0.015,0.0,0.0009,4.0056
150,-11093.2013,0.0125,23.5021,0.0009,4.0349
151,-11093.2013,0.0125,23.5021,0.0009,4.0686
152,-11093.2013,0.01,23.5021,0.0009,4.0995
153,-10965.235,0.01,23.5021,0.0009,4.1292
154,-10965.235,0.0025,0.0,0.0009,4.158
155,-10810.5569,0.005,0.0,0.0009,4.1845
156,-10758.3978,0.0075,0.0,0.0009,4.212
157,-10758.3978,0.0075,0.0,0.0009,4.2414
158,-10758.3978,0.005,0.0,0.0009,4.2701
159,-10758.3978,0.005,0.0,0.0009,4.2993
160,-10708.1914,0.005,0.0,0.0009,4.3243
161,-10708.1914,0.0025,0.0,0.0009,4.3549
162,-10708.1914,0.0025,0.0,0.0009,4.3829
163,-10708.1914,0.0025,0.0,0.0009,4.4081
164,-10708.1914,0.0025,0.0,0.0009,4.4337
165,-10633.899,0.0025,0.0,0.0009,4.4628
166,-10590.3713,0.0075,0.0,0.0009,4.4916
167,-10577.2442,0.01,15.7642,0.0009,4.5189
168,-10577.2442,0.01,0.0,0.0009,4.5429
169,-10563.1352,0.0125,0.0,0.0009,4.5675
170,-10439.7666,0.0175,0.0,0.0009,4.597
171,-10422.349,0.015,52.5422,0.0009,4.6258
172,-10422.349,0.0125,0.0,0.0009,4.6554
173,-10422.349,0.0125,0.0,0.0009,4.6844
174,-10393.1582,0.0125,0.0,0.0009,4.7145
175,-10351.4456,0.0075,0.0,0.0009,4.7433
176,-10272.6061,0.0075,0.0,0.0009,4.7728
177,-10207.714,0.01,0.0,0.0009,4.7966
178,-10207.714,0.01,0.0,0.0009,4.8205
179,-10168.844,0.0125,0.0,0.0009,4.8464
180,-10114.789,0.0125,3.3058,0.0009,4.8715
181,-10110.4205,0.0125,0.0,0.0009,4.9023
182,-10110.4205,0.01,0.0,0.0009,4.9295
183,-10075.7386,0.0125,0.0,0.0009,4.9581
184,-10075.7386,0.0075,0.0,0.0009,4.9881
185,-10075.7386,0.005,0.0,0.0009,5.0219
186,-10075.7386,0.0025,0.0,0.0009,5.0486
187,-10041.5969,0.005,0.0,0.0009,5.0728
188,-10041.5969,0.0025,0.0,0.0009,5.0998
189,-10041.5969,0.0025,0.0,0.0009,5.1265
190,-9958.8006,0.01,0.0,0.0009,5.1575
191,-9922.378,0.0125,27.961,0.0009,5.1871
192,-9891.7036,0.0125,0.0,0.0009,5.2185
193,-9806.2897,0.015,0.0,0.0009,5.2448
194,-9806.2897,0.015,0.0,0.0009,5.2706
195,-9806.2897,0.0075,0.0,0.0009,5.3002
196,-9704.317,0.0075,0.0,0.0009,5.329
197,-9686.4055,0.0075,0.0,0.0009,5.3526
198,-9675.4905,0.01,0.0,0.0009,5.3813
199,-9675.4905,0.01,3.1744,0.0009,5.4091
200,-9635.0876,0.0125,3.1744,0.0009,5.4358
