step,best_objective,avg_acceptance_rate,std,temperature,runtime
0,-53070.9212,0.75,109.0625,218.1251,0.0092
1,-51535.9597,0.725,388.1036,209.2111,0.0269
2,-49065.2258,0.7,464.5533,204.1792,0.0445
3,-47354.1861,0.7,737.8752,202.8972,0.0688
4,-45861.6016,0.68,468.6884,198.1041,0.0862
5,-44541.4209,0.65,394.6986,190.4072,0.1041
6,-42793.6523,0.645,772.926,189.4174,0.1218
7,-41000.9823,0.635,439.4367,184.1926,0.14
8,-40137.4085,0.595,838.5304,183.4862,0.1648
9,-39761.6875,0.57,261.4825,161.4255,0.1824
10,-38671.8812,0.545,177.7695,123.3455,0.2011
11,-38041.7604,0.5,428.2909,122.1019,0.2211
12,-37495.8599,0.465,271.9637,117.3808,0.2392
13,-36609.4419,0.455,192.6538,106.4959,0.263
14,-35693.2102,0.415,233.785,102.1235,0.2821
15,-35332.2532,0.385,241.6968,98.7545,0.3009
16,-34216.7993,0.395,183.9744,92.3733,0.3277
17,-33800.249,0.41,363.4773,91.6975,0.3557
18,-33510.187,0.385,230.0195,89.1467,0.4038
19,-33083.0809,0.385,231.7509,86.9366,0.4493
20,-32874.9262,0.37,232.7542,84.9593,0.492
21,-31994.4109,0.365,128.7404,75.3798,0.5034
22,-31358.6716,0.315,260.7269,74.586,0.5155
23,-30951.5586,0.32,181.1164,72.4779,0.5264
24,-30366.5464,0.325,152.5822,69.3601,0.5411
25,-29459.4713,0.32,278.9554,68.9128,0.561
26,-29291.6853,0.285,285.0286,68.5067,0.5794
27,-28556.6917,0.275,48.987,32.8748,0.6047
28,-27707.9295,0.255,246.3027,32.8445,0.6226
29,-27195.6191,0.23,278.9372,32.8246,0.6411
30,-26404.4808,0.215,173.6267,32.7475,0.6599
31,-25970.123,0.195,228.7547,32.7156,0.6799
32,-25660.6863,0.175,109.0302,32.4436,0.7008
33,-25083.9571,0.175,131.9678,32.3063,0.7172
34,-24688.9361,0.155,218.5473,32.2765,0.7345
35,-24637.2271,0.135,14.3515,8.1532,0.7516
36,-24500.0203,0.115,21.7689,8.0548,0.7691
37,-24038.9676,0.11,41.0704,8.0425,0.7869
38,-23517.7269,0.115,83.2427,8.0411,0.8026
39,-23302.1362,0.12,141.6499,8.0408,0.8194
40,-22942.8661,0.13,80.478,8.0391,0.8363
41,-22820.4793,0.13,84.8149,8.0376,0.8535
42,-22406.9115,0.145,28.0284,7.9952,0.8765
43,-22105.3118,0.11,170.5994,7.9949,0.8936
44,-21583.416,0.12,107.9975,7.9943,0.9111
45,-21407.4266,0.115,195.8742,7.9942,0.9288
46,-21137.3575,0.12,81.6186,7.9927,0.947
47,-20817.2277,0.115,100.3248,7.9918,0.9734
48,-20539.8008,0.11,92.6879,7.9908,0.9911
49,-20221.7962,0.095,95.7634,7.9899,1.01
50,-19832.9695,0.1,26.5854,7.9529,1.0289
51,-19832.9695,0.075,158.8934,7.9527,1.0516
52,-19496.9961,0.07,158.8934,7.9527,1.0681
53,-19143.8091,0.085,160.7339,7.9526,1.0853
54,-18925.644,0.075,84.33,7.9515,1.1026
55,-18572.075,0.085,0.0,7.9515,1.1196
56,-18572.075,0.085,115.3116,7.9511,1.1381
57,-18222.2906,0.08,115.3116,7.9511,1.1582
58,-18145.2496,0.065,155.922,7.951,1.1742
59,-18145.2496,0.06,34.9093,7.9396,1.1914
60,-17892.9871,0.045,34.9093,7.9396,1.2076
61,-17759.498,0.055,84.5413,7.939,1.2253
62,-17692.6109,0.05,58.7635,7.937,1.2489
63,-17487.8524,0.045,30.6284,7.9239,1.2657
64,-17487.8524,0.045,63.8554,7.9226,1.2831
65,-17229.9457,0.055,63.8554,7.9226,1.3031
66,-17051.6054,0.055,100.5381,7.9222,1.3229
67,-16991.6581,0.055,87.0387,7.9216,1.3469
68,-16891.9657,0.065,30.256,7.9068,1.3653
69,-16779.9651,0.08,26.8741,7.8824,1.3838
70,-16600.1425,0.07,45.6899,7.8765,1.4026
71,-16600.1425,0.06,56.5291,7.8737,1.4247
72,-16331.3733,0.07,56.5291,7.8737,1.4417
73,-16268.0993,0.06,122.5951,7.8735,1.4584
74,-16204.7907,0.055,30.469,7.8582,1.4761
75,-15978.739,0.06,29.7884,7.8432,1.493
76,-15929.0585,0.07,83.6277,7.8425,1.5132
