step,best_objective,avg_acceptance_rate,std,temperature,runtime
0,-52983.2167,0.725,2240.9785,4481.957,0.0108
1,-51654.5269,0.785,1824.9489,896.9464,0.0291
2,-48425.6254,0.81,549.035,482.9043,0.0468
3,-46540.0919,0.795,1422.9397,479.8063,0.0644
4,-45948.6933,0.77,932.2843,468.0615,0.0825
5,-45737.7417,0.8,697.6592,439.4764,0.1004
6,-44007.4327,0.735,287.563,268.8623,0.1189
7,-42839.8534,0.675,601.0266,262.792,0.1372
8,-41560.0383,0.65,322.3627,223.4612,0.1553
9,-41511.7239,0.61,364.8912,206.8556,0.1729
10,-40469.7125,0.54,385.8024,195.2915,0.19
11,-40030.9619,0.525,387.3475,185.1176,0.2077
12,-39624.2686,0.52,191.1653,132.6513,0.2251
13,-38361.3624,0.485,339.6873,129.2824,0.2431
14,-37514.1411,0.485,321.8027,125.6302,0.2642
15,-36733.0693,0.455,245.8168,118.5357,0.2831
16,-35218.3168,0.465,366.529,116.7472,0.3015
17,-34253.6026,0.43,462.3787,115.9041,0.3198
18,-34011.1357,0.405,246.5228,110.6881,0.3377
19,-33319.6235,0.39,211.4876,103.9676,0.3612
20,-32901.6752,0.375,345.2582,102.7114,0.3794
21,-32667.1597,0.34,137.7355,86.7472,0.3999
22,-32065.5619,0.32,180.2776,82.7815,0.4182
23,-31382.3527,0.355,239.3356,81.3694,0.4373
24,-31199.4796,0.33,272.9855,80.4393,0.4594
25,-31199.4796,0.31,102.4462,66.7157,0.4786
26,-30312.1068,0.295,127.5534,62.9896,0.4986
27,-29782.1664,0.28,330.1037,62.8135,0.5187
28,-29352.821,0.24,187.2257,61.8961,0.5384
29,-28611.169,0.26,145.4877,60.2355,0.5632
30,-28283.4289,0.255,205.3703,59.6691,0.5821
31,-27949.4799,0.24,159.4637,58.5289,0.6039
32,-27819.7731,0.23,98.1231,54.3959,0.6254
33,-27342.7752,0.205,43.6629,32.5081,0.6467
34,-26742.275,0.16,81.2495,31.8518,0.67
35,-26112.8024,0.165,65.9174,30.9211,0.6888
36,-25452.6183,0.175,226.4496,30.8996,0.7097
37,-25104.8532,0.18,238.9209,30.8805,0.7281
38,-24920.0492,0.165,156.6606,30.8115,0.7527
39,-24681.7954,0.17,104.3075,30.596,0.773
40,-24411.4902,0.165,99.9916,30.3527,0.7929
41,-24212.4589,0.17,89.4598,30.0321,0.8126
42,-23759.7576,0.155,58.814,28.9536,0.8337
43,-23459.4089,0.155,75.5126,28.5352,0.8555
44,-23317.9835,0.14,117.181,28.4285,0.8741
45,-23020.1447,0.135,50.825,27.2852,0.8926
46,-22877.0272,0.1,72.0222,26.9448,0.911
47,-22319.1995,0.11,60.1121,26.5162,0.9299
48,-21949.6206,0.12,244.7057,26.5096,0.9514
49,-21865.4371,0.115,150.0678,26.4789,0.9695
50,-21536.6166,0.11,31.7613,23.6947,0.9881
51,-21101.6966,0.115,119.3405,23.6585,1.0076
52,-20827.386,0.115,126.7864,23.6274,1.0257
53,-20412.9908,0.1,113.4912,23.5842,1.0489
54,-20207.0781,0.105,24.0658,20.1758,1.0728
55,-19849.7199,0.115,76.8976,20.1077,1.0928
56,-19849.7199,0.105,116.7492,20.0869,1.1134
57,-19842.7326,0.09,0.4103,0.0009,1.1388
58,-19487.3268,0.11,0.8864,0.0009,1.1632
59,-19479.303,0.1,113.9737,0.0009,1.1845
60,-19214.3928,0.09,3.8986,0.0009,1.2071
61,-19124.4472,0.095,93.4023,0.0009,1.2282
62,-18915.6465,0.095,17.5665,0.0009,1.2534
63,-18302.6592,0.085,91.9128,0.0009,1.2736
64,-18240.2562,0.085,251.9751,0.0009,1.2924
65,-18057.3208,0.065,3.428,0.0009,1.3131
66,-17958.1341,0.06,0.0,0.0009,1.3321
67,-17958.1341,0.05,16.6454,0.0009,1.3576
68,-17827.7587,0.045,16.6454,0.0009,1.3757
69,-17732.7709,0.045,40.5327,0.0009,1.3949
70,-17524.2154,0.055,45.5979,0.0009,1.4133
71,-17508.2911,0.05,50.2749,0.0009,1.4331
72,-17505.6476,0.055,0.0,0.0009,1.458
73,-17482.3435,0.045,0.0,0.0009,1.4793
74,-17364.7244,0.055,10.5236,0.0009,1.5012
75,-17104.8916,0.055,31.1266,0.0009,1.5257
76,-16924.4304,0.07,58.9308,0.0009,1.5506
77,-16923.5748,0.07,61.3574,0.0009,1.573
78,-16735.0042,0.07,0.0,0.0009,1.5975
79,-16714.8215,0.055,0.6798,0.0009,1.6167
80,-16521.0128,0.05,0.0,0.0009,1.6409
81,-16521.0128,0.03,10.9946,0.0009,1.661
82,-16460.7204,0.04,10.9946,0.0009,1.6806
83,-16436.7148,0.035,22.9216,0.0009,1.7004
84,-16311.676,0.04,0.0,0.0009,1.7233
85,-16246.2256,0.04,2.9126,0.0009,1.7408
86,-16189.2881,0.05,32.3149,0.0009,1.7645
87,-15997.136,0.06,17.5052,0.0009,1.7828
88,-15838.6422,0.07,61.8339,0.0009,1.8026
89,-15551.4346,0.065,32.8002,0.0009,1.8249
90,-15547.987,0.06,0.0,0.0009,1.8428
91,-15470.8565,0.055,0.0,0.0009,1.8619
92,-15456.4736,0.04,0.0,0.0009,1.8806
93,-15456.4736,0.025,0.1991,0.0009,1.9003
94,-15385.5744,0.025,0.1991,0.0009,1.9214
95,-15210.3483,0.03,0.0,0.0009,1.9433
96,-15210.3483,0.025,36.7682,0.0009,1.9643
97,-15155.9151,0.025,36.7682,0.0009,1.9869
98,-15089.4336,0.035,26.5761,0.0009,2.0105
99,-15089.4336,0.03,31.483,0.0009,2.0299
100,-15065.0877,0.025,31.483,0.0009,2.0484
101,-15050.5744,0.03,0.0,0.0009,2.0687
102,-14968.116,0.03,0.0,0.0009,2.0891
103,-14968.116,0.02,23.0488,0.0009,2.1129
104,-14836.7013,0.03,23.0488,0.0009,2.1309
105,-14796.2034,0.03,37.3386,0.0009,2.1501
106,-14796.2034,0.025,0.0,0.0009,2.1688
107,-14792.2211,0.02,0.0,0.0009,2.1897
108,-14733.5953,0.025,0.0,0.0009,2.2138
109,-14733.5953,0.015,0.0,0.0009,2.2322
110,-14733.5953,0.01,0.0,0.0009,2.2515
111,-14489.3978,0.035,0.0,0.0009,2.2697
112,-14485.1299,0.04,83.7754,0.0009,2.2943
113,-14485.1299,0.035,0.1427,0.0009,2.3123
