step,best_objective,avg_acceptance_rate,std,temperature,runtime
0,-49165.807,0.675,692.3379,1384.6758,0.0072
1,-48611.5675,0.79,1105.8276,845.4288,0.0205
2,-46444.2883,0.785,484.5833,420.4219,0.032
3,-46015.7024,0.765,777.7016,407.7541,0.0432
4,-45052.5487,0.755,439.6901,346.5149,0.0543
5,-43916.7035,0.765,513.9278,323.3334,0.0653
6,-41883.8683,0.7,265.7376,231.0912,0.0766
7,-41138.4643,0.655,648.4664,228.0138,0.0868
8,-40392.9668,0.61,300.4158,198.1447,0.0994
9,-38898.4365,0.575,357.4308,185.9732,0.1108
10,-38075.7757,0.555,538.181,182.8854,0.1219
11,-37280.9827,0.54,297.9057,166.6497,0.1328
12,-36830.2875,0.525,332.4966,158.1125,0.144
13,-35703.6349,0.51,193.3951,127.714,0.1552
14,-35152.4226,0.49,333.7806,124.6333,0.1668
15,-34175.4512,0.455,334.2219,121.8087,0.1785
16,-34074.124,0.44,324.8186,118.967,0.1889
17,-33241.358,0.415,282.8549,115.0831,0.2
18,-33096.4409,0.41,151.214,95.9533,0.214
19,-32671.7238,0.38,121.4264,78.4666,0.2275
20,-32162.0555,0.335,216.9647,76.848,0.2406
21,-31618.9502,0.305,192.6777,74.8186,0.2529
22,-30809.4427,0.295,169.3675,72.2631,0.2648
23,-30261.5121,0.29,195.2272,70.814,0.2759
24,-29531.8274,0.285,167.4088,68.7334,0.2868
25,-29063.8064,0.26,288.1318,68.3656,0.2986
26,-28765.568,0.255,187.1364,67.1341,0.31
27,-28111.8198,0.26,84.3863,56.5471,0.3214
28,-27912.2455,0.23,210.1797,56.1358,0.3325
29,-27703.7893,0.21,53.0693,39.7524,0.3448
30,-27237.0941,0.225,96.1435,38.8537,0.3559
31,-26830.1192,0.21,151.5834,38.6304,0.3668
32,-26391.9417,0.19,101.0945,37.9377,0.3782
33,-26271.5288,0.16,110.8513,37.4804,0.3895
34,-25841.9749,0.15,53.0736,34.2614,0.4009
35,-25377.7998,0.13,101.7143,33.9329,0.4127
36,-25187.05,0.13,49.5572,31.646,0.4239
37,-24765.8467,0.115,86.7052,31.3034,0.4389
38,-24331.8223,0.125,148.3085,31.2438,0.4544
39,-24144.0632,0.13,156.5054,31.1898,0.471
40,-23621.297,0.14,32.3778,25.9649,0.4872
41,-23283.4244,0.13,220.0075,25.9547,0.5038
42,-23274.3965,0.105,127.2424,25.9052,0.5201
43,-23085.0852,0.1,0.0,25.9052,0.536
44,-22744.1863,0.11,105.2926,25.8362,0.5577
45,-22525.0555,0.135,131.8722,25.7983,0.574
46,-22342.8512,0.15,58.6111,25.2971,0.5949
47,-22284.0456,0.165,69.0352,24.9857,0.6112
