step,best_objective,avg_acceptance_rate,std,temperature,runtime
0,-48791.1449,0.7328,1676.18,3352.36,0.0197
1,-46832.8808,0.8191,1842.9971,1305.1327,0.1163
2,-45414.7503,0.8266,748.139,718.4346,0.2074
3,-43497.5741,0.8169,735.1683,633.0861,0.2996
4,-41778.0998,0.7972,743.9219,577.3747,0.3908
5,-40057.7907,0.8031,856.9618,547.0392,0.4815
6,-38958.1202,0.7634,686.0481,502.731,0.572
7,-37641.7055,0.7309,619.5498,449.0969,0.6643
8,-36857.3009,0.6972,638.1233,411.4019,0.7563
9,-35973.2872,0.6759,584.0856,372.2113,0.8486
10,-34514.5526,0.6422,652.9041,351.1378,0.9397
11,-32506.3212,0.6147,707.8832,336.4858,1.032
12,-31304.1662,0.5866,617.1709,316.945,1.123
13,-30044.0891,0.5625,647.4918,302.6915,1.2155
14,-28542.7461,0.5378,644.2706,290.1494,1.3068
15,-27687.4695,0.5022,656.641,279.7732,1.3981
16,-27323.1279,0.4662,642.6845,269.8925,1.4897
17,-26782.7804,0.4356,491.1163,251.0695,1.5829
18,-26457.5445,0.4147,566.0015,241.5082,1.6786
19,-25595.222,0.3928,481.1156,228.4411,1.7715
20,-25357.2113,0.3803,553.2522,221.4489,1.8639
21,-24943.7372,0.3672,608.4048,216.793,1.9558
22,-24559.1993,0.3603,603.9623,212.4576,2.0481
23,-23649.6765,0.3553,427.1618,201.5767,2.1409
24,-22934.479,0.3388,489.6688,195.6167,2.2325
25,-22481.0312,0.3259,491.0629,190.4476,2.3246
26,-21950.269,0.3191,467.3896,185.1522,2.4169
27,-21464.4855,0.3009,351.2637,174.4509,2.5087
28,-20953.9921,0.2772,344.7229,165.6989,2.6024
29,-20354.9321,0.2581,332.9754,158.0942,2.6966
30,-19935.1041,0.2419,328.4196,151.7534,2.7896
31,-19665.9601,0.2238,279.5865,143.4973,2.8827
32,-18985.2014,0.2128,391.5289,141.1222,2.9733
33,-18764.7163,0.2059,298.3117,136.3541,3.06
34,-18457.0481,0.2016,284.7624,131.6879,3.1507
35,-18240.649,0.1875,247.6984,125.6853,3.2418
36,-17993.4425,0.1844,311.4013,123.2428,3.3334
37,-17739.835,0.1784,238.5495,118.3836,3.4275
38,-17580.6521,0.1625,259.3129,115.2007,3.5193
39,-17082.4496,0.1569,238.6738,111.8054,3.61
40,-16870.8965,0.1597,211.0214,107.6025,3.7011
41,-16728.3829,0.1475,220.3378,104.365,3.7935
42,-16545.8591,0.1369,161.8238,97.8085,3.8853
43,-16333.5293,0.1316,138.9257,90.3953,3.986
44,-16098.0992,0.1222,203.5275,88.6297,4.0784
45,-15859.9736,0.1116,139.2536,84.0035,4.1697
46,-15640.0195,0.1084,155.7341,81.4774,4.2614
47,-15269.7436,0.1013,142.9565,78.6704,4.3527
48,-15105.2656,0.0984,135.9812,75.9997,4.4452
49,-14937.0016,0.1009,138.0314,73.8185,4.5366
50,-14743.5139,0.0981,134.7312,71.6847,4.63
51,-14476.7988,0.0947,120.2364,69.0998,4.7225
52,-14348.8219,0.0925,159.2986,68.1485,4.8161
53,-14100.8604,0.0912,74.4677,60.3956,4.9074
54,-13854.5414,0.0812,96.0455,58.0089,4.9993
55,-13685.7766,0.0791,100.5229,56.3938,5.0919
56,-13471.8815,0.0759,79.7329,53.635,5.185
57,-13259.8943,0.0703,108.1852,52.7346,5.2795
58,-13145.6045,0.0638,93.3579,51.5222,5.3738
59,-12919.1886,0.0569,97.2277,50.6239,5.4566
60,-12675.0921,0.0512,84.5085,49.4837,5.5491
61,-12572.4446,0.0469,98.1851,48.8757,5.6412
62,-12417.996,0.0447,73.9445,47.6469,5.7333
63,-12310.5995,0.0434,86.5277,46.9776,5.8255
64,-12204.1313,0.0444,66.6979,45.6526,5.9171
65,-12020.7826,0.0444,81.8559,44.991,6.0099
66,-11864.8477,0.0447,76.4319,44.2264,6.1028
67,-11749.2955,0.0441,50.9118,41.8834,6.1944
68,-11581.3975,0.0431,68.8529,41.1044,6.2865
69,-11402.9539,0.0416,82.9837,40.6964,6.39
70,-11336.61,0.0388,82.0477,40.3047,6.4794
71,-11255.0605,0.0347,52.028,38.9561,6.5702
72,-11159.1816,0.0344,66.0306,38.4278,6.6611
73,-11063.5275,0.0322,57.0729,37.6648,6.7526
74,-11005.0017,0.0331,57.9242,37.0306,6.8455
75,-10855.682,0.0334,71.9122,36.7096,6.9386
76,-10771.7024,0.0328,56.772,36.0793,7.0323
77,-10710.3373,0.0322,45.4012,34.9659,7.1263
78,-10639.0759,0.0331,38.05,33.3537,7.2208
79,-10447.1675,0.0341,30.8064,30.8467,7.3129
80,-10433.3487,0.0303,76.9839,30.7167,7.4048
81,-10360.0242,0.0294,25.7408,27.9276,7.4969
82,-10301.871,0.0297,33.5689,27.0399,7.5909
83,-10249.1245,0.0259,25.1837,25.2403,7.6832
84,-10169.5449,0.0219,41.8275,24.9632,7.7752
85,-10145.4342,0.0238,58.6463,24.8811,7.8659
86,-10078.6693,0.0212,24.9787,23.7909,7.9582
87,-10008.8829,0.0203,27.5066,23.1675,8.0506
88,-9999.949,0.0197,37.8564,22.9581,8.1423
89,-9886.5746,0.0191,16.4639,20.7831,8.233
90,-9782.5424,0.0184,61.1001,20.7525,8.3254
91,-9718.611,0.0188,45.1419,20.6798,8.4183
92,-9695.4751,0.0169,30.3791,20.4425,8.5112
93,-9581.0427,0.0181,25.1418,20.0843,8.6046
94,-9552.5044,0.0156,49.5597,20.0369,8.6976
95,-9490.8269,0.0119,17.2269,19.1119,8.7905
96,-9436.3358,0.0106,0.0,19.1119,8.882
97,-9387.8743,0.0097,25.8737,18.9513,8.9835
98,-9326.941,0.0084,22.8891,18.7471,9.078
99,-9257.8915,0.0097,34.9455,18.6988,9.1699
100,-9160.0956,0.0125,39.0132,18.6594,9.2631
101,-9097.4802,0.0125,50.4808,18.6362,9.3549
102,-9086.2759,0.0116,44.6391,18.6027,9.4469
103,-9047.4725,0.0109,21.733,18.3398,9.5384
104,-8991.5161,0.0119,23.0975,18.1433,9.6309
105,-8958.2235,0.0122,24.2282,17.9663,9.7221
106,-8883.1524,0.0116,33.4504,17.8995,9.8131
107,-8851.8594,0.0122,39.3369,17.8611,9.9059
108,-8816.4553,0.0106,16.7429,17.3538,9.9992
109,-8797.5064,0.0088,34.361,17.3069,10.0922
110,-8768.3373,0.0072,12.4725,16.5403,10.1853
111,-8741.923,0.0072,12.1126,15.9603,10.2791
112,-8678.9588,0.0081,18.7574,15.8212,10.3739
113,-8553.1004,0.0088,37.7466,15.8025,10.468
114,-8480.538,0.0088,50.5882,15.7941,10.5621
115,-8480.538,0.0075,30.6135,15.7566,10.6548
116,-8474.1288,0.0084,30.0518,15.7229,10.7471
117,-8438.1192,0.0081,42.1029,15.7092,10.84
118,-8424.7776,0.0091,30.7618,15.6755,10.933
119,-8315.1984,0.0109,12.4241,15.1297,11.0253
120,-8273.8342,0.0125,42.6552,15.1151,11.1213
121,-8235.7199,0.0116,32.3707,15.0773,11.2151
122,-8235.7199,0.0097,43.6769,15.0631,11.3081
123,-8155.4587,0.0081,0.0,15.0631,11.4026
124,-8155.4587,0.0056,35.6994,15.0449,11.4946
125,-8134.5447,0.0038,3.3203,7.3723,11.589
126,-8043.5138,0.0047,0.0,7.3723,11.68
127,-8004.8048,0.0047,29.3404,7.3712,11.7732
128,-7969.5965,0.0047,0.0,7.3712,11.8663
129,-7967.9662,0.0044,22.4667,7.3687,11.962
130,-7967.9662,0.0047,0.0,7.3687,12.0552
131,-7911.1931,0.0034,4.2381,7.0242,12.1478
132,-7911.1931,0.0034,15.0051,7.0193,12.2428
133,-7878.8769,0.0031,0.0,7.0193,12.3367
134,-7850.9745,0.0031,19.5895,7.0173,12.4299
135,-7770.6099,0.0038,0.0,7.0173,12.5226
136,-7766.118,0.0031,24.5894,7.0161,12.6159
137,-7763.9509,0.0031,0.0,7.0161,12.7097
138,-7763.9509,0.0028,0.0,7.0161,12.8029
139,-7722.1051,0.0031,4.0334,6.8149,12.8922
140,-7708.4057,0.0025,14.716,6.8107,12.9863
141,-7644.056,0.0031,5.6732,6.7524,13.0799
142,-7626.7604,0.0041,22.2454,6.7512,13.1738
143,-7593.579,0.0038,11.8141,6.741,13.2672
144,-7593.579,0.0034,0.0,6.741,13.3604
145,-7514.2048,0.0038,0.0,6.741,13.453
146,-7493.9662,0.0031,33.995,6.7407,13.5447
147,-7493.9662,0.0019,0.0,6.7407,13.6374
148,-7491.6132,0.0025,0.0,6.7407,13.7316
149,-7456.501,0.0028,1.7168,5.1776,13.8246
150,-7456.501,0.0022,15.6754,5.1766,13.9264
151,-7456.501,0.0022,0.0,5.1766,14.0215
152,-7418.1299,0.0034,0.0,5.1766,14.115
153,-7418.1299,0.0025,21.0884,5.176,14.2098
154,-7381.5964,0.0028,21.0884,5.176,14.3026
155,-7372.3251,0.0028,11.5385,5.1734,14.3957
156,-7361.0412,0.0031,0.0,5.1734,14.4881
157,-7354.495,0.0022,6.4571,5.1569,14.5816
158,-7352.3278,0.0025,0.0,5.1569,14.6753
159,-7352.3278,0.0016,0.0,5.1569,14.7697
160,-7352.3278,0.0016,0.0,5.1569,14.8636
161,-7335.0322,0.0012,0.0,5.1569,14.9572
162,-7335.0322,0.0009,0.0,5.1569,15.0504
163,-7335.0322,0.0009,0.0,5.1569,15.1428
164,-7335.0322,0.0009,0.0,5.1569,15.2369
165,-7295.1002,0.0016,0.0,5.1569,15.3299
166,-7295.1002,0.0012,17.315,5.1565,15.4222
167,-7295.1002,0.0012,17.315,5.1565,15.5148
168,-7295.1002,0.0012,17.315,5.1565,15.6093
169,-7295.1002,0.0012,0.0,5.1565,15.703
170,-7295.1002,0.0006,0.0,5.1565,15.7972
171,-7295.1002,0.0006,0.0,5.1565,15.8919
172,-7295.1002,0.0009,0.0,5.1565,15.9859
173,-7295.1002,0.0006,0.0,5.1565,16.0787
174,-7295.1002,0.0006,0.0,5.1565,16.1718
175,-7295.1002,0.0003,0.0,5.1565,16.2661
176,-7269.6171,0.0012,0.0,5.1565,16.3598
177,-7257.34,0.0012,12.0602,5.1555,16.4551
178,-7257.34,0.0012,0.0,5.1555,16.5475
179,-7257.34,0.0016,0.0,5.1555,16.6405
180,-7257.34,0.0016,0.0,5.1555,16.7354
181,-7257.34,0.0006,0.0,5.1555,16.8309
182,-7257.34,0.0006,0.0,5.1555,16.9247
183,-7257.34,0.0009,0.0,5.1555,17.0181
184,-7257.34,0.0006,0.0,5.1555,17.1101
185,-7257.34,0.0006,0.0,5.1555,17.2024
186,-7257.34,0.0006,0.0,5.1555,17.2951
187,-7257.34,0.0003,0.0,5.1555,17.389
188,-7257.34,0.0003,0.0,5.1555,17.4815
189,-7257.34,0.0003,0.0,5.1555,17.5735
190,-7254.2951,0.0009,0.0,5.1555,17.6659
191,-7229.0827,0.0012,2.606,5.0818,17.7575
192,-7229.0827,0.0016,0.0,5.0818,17.8499
193,-7229.0827,0.0019,0.0,5.0818,17.9438
194,-7208.4185,0.0022,0.2247,0.1148,18.0372
195,-7196.8341,0.0019,0.0,0.1148,18.1317
196,-7196.8341,0.0016,0.0,0.1148,18.2244
197,-7196.8341,0.0012,0.0,0.1148,18.3187
198,-7196.8341,0.0006,0.0,0.1148,18.4116
199,-7196.8341,0.0003,0.0,0.1148,18.505
200,-7196.8341,0.0,0.0,0.1148,18.5997
