step,best_objective,avg_acceptance_rate,std,temperature,runtime
0,-50430.6801,0.7094,1545.0079,3090.0158,0.0197
1,-48136.4319,0.7938,1525.0855,910.5723,0.1118
2,-46396.2981,0.8,732.5075,671.2113,0.2017
3,-43906.0707,0.8012,827.1669,612.9842,0.2931
4,-42386.6201,0.7959,692.6955,546.2803,0.3854
5,-41004.217,0.8003,665.9407,496.1867,0.4783
6,-39671.3424,0.7606,674.828,463.5035,0.5727
7,-37791.1106,0.7306,658.3233,429.4787,0.6655
8,-37341.3965,0.6966,606.9175,392.8376,0.7576
9,-36304.4398,0.6619,549.9164,353.8783,0.8489
10,-35045.0738,0.6306,608.8475,331.8488,0.9428
11,-34009.6554,0.6009,698.5129,319.2821,1.0345
12,-33026.0692,0.5766,651.0175,305.2003,1.1258
13,-31845.7855,0.5475,555.272,285.828,1.218
14,-30881.1184,0.52,538.4837,268.7431,1.313
15,-30049.6764,0.5,567.7978,256.8273,1.4102
16,-29559.3967,0.4775,537.4317,244.9466,1.5021
17,-29039.9056,0.4488,535.5405,234.8372,1.6029
18,-28081.0609,0.4272,517.3669,225.2858,1.7045
19,-27301.3231,0.4059,472.8654,214.7584,1.7986
20,-26922.7104,0.3894,467.7255,205.7744,1.9092
21,-26146.7293,0.3772,418.1667,195.3521,2.0141
22,-25753.0965,0.3638,410.0786,186.3961,2.111
23,-25134.471,0.3506,513.1803,182.5473,2.2139
24,-24539.133,0.3356,423.6826,176.4122,2.3167
25,-24125.09,0.3128,351.821,167.384,2.4139
26,-23968.7153,0.2937,368.5768,161.1193,2.513
27,-23127.7552,0.2784,265.1036,147.7637,2.6108
28,-22402.5762,0.2612,352.366,143.6194,2.7068
29,-22019.5757,0.2513,378.1228,140.7104,2.8014
30,-21561.1944,0.2375,286.0272,134.7968,2.8949
31,-21266.0086,0.2278,244.6943,127.233,2.986
32,-20753.2124,0.2209,237.4396,120.8016,3.0797
33,-20347.517,0.2122,255.5903,116.628,3.182
34,-20056.5472,0.2,259.758,113.2493,3.2741
35,-19577.5431,0.195,251.0872,110.0577,3.3721
36,-19286.428,0.1838,196.8309,104.395,3.4708
37,-19073.1302,0.1684,250.3323,102.1945,3.5662
38,-18591.7094,0.1634,254.1594,100.3819,3.6696
39,-18341.983,0.1566,185.6747,96.2556,3.8311
40,-17993.5432,0.1484,144.7156,89.361,3.9546
41,-17477.3268,0.1416,222.4647,87.9296,4.048
42,-17286.1522,0.1372,174.3655,85.2868,4.1329
43,-16942.9159,0.1266,171.5719,82.8896,4.225
44,-16819.6197,0.1241,153.7875,80.1283,4.3176
45,-16421.9864,0.1166,121.4212,75.437,4.4102
46,-16180.528,0.1116,138.7036,73.0267,4.4981
47,-16020.056,0.1072,145.6619,71.253,4.5903
48,-15675.7049,0.0991,121.3206,68.6016,4.6836
49,-15382.5001,0.0947,119.4768,66.3652,4.7736
50,-15239.753,0.09,137.612,65.1161,4.8614
51,-15026.1992,0.0875,149.9464,64.2561,4.954
52,-14898.676,0.0834,109.396,62.246,5.0407
53,-14656.0625,0.0844,109.7973,60.5615,5.1268
54,-14562.5785,0.0772,119.4963,59.3697,5.216
55,-14444.9246,0.0716,77.3896,55.7873,5.3058
56,-14297.3188,0.0669,89.2897,54.0384,5.3972
57,-14097.0298,0.0631,96.8963,52.8947,5.4909
58,-13908.1008,0.0628,98.0565,51.9315,5.579
59,-13744.3588,0.0634,87.4451,50.683,5.6669
60,-13562.4917,0.0622,82.0588,49.3041,5.7565
61,-13491.9378,0.0591,86.495,48.2625,5.8461
62,-13314.5384,0.0597,78.0073,47.0258,5.9376
63,-13059.8712,0.0541,89.3194,46.2686,6.017
64,-12906.9362,0.0481,83.9702,45.4908,6.1044
65,-12731.0025,0.0488,70.1079,44.3806,6.1781
66,-12539.5669,0.0459,81.2102,43.7193,6.2526
67,-12420.6537,0.0419,87.8411,43.2521,6.3427
68,-12265.6859,0.0422,61.6901,42.0887,6.431
69,-12091.2973,0.0425,76.7672,41.5357,6.5224
70,-11955.9119,0.0406,60.9572,40.4936,6.6058
71,-11816.0362,0.0422,84.7133,40.1519,6.6999
72,-11688.4114,0.0409,53.844,38.8505,6.7951
73,-11556.2217,0.0406,62.6706,38.1374,6.8979
74,-11495.0483,0.04,73.5115,37.7269,7.002
75,-11318.7284,0.0372,73.4674,37.3388,7.1098
76,-11266.6575,0.0356,79.0349,37.0591,7.2073
77,-11192.6341,0.0338,48.6814,35.9691,7.3069
78,-10999.7246,0.0316,49.6993,35.1015,7.4161
79,-10879.2043,0.0306,89.1771,34.9711,7.512
80,-10764.4207,0.0356,74.4276,34.7571,7.6067
81,-10673.2741,0.0322,53.8708,34.1275,7.7013
82,-10510.1095,0.0322,41.961,33.021,7.7932
83,-10411.4472,0.0338,68.2777,32.79,7.8886
84,-10340.9427,0.0316,61.7929,32.4736,7.9954
85,-10278.9011,0.0275,50.3754,31.9505,8.0883
86,-10204.1972,0.0303,55.2278,31.6231,8.1815
87,-10047.8821,0.0325,43.3059,30.9156,8.2842
88,-9972.6425,0.0294,74.6939,30.7784,8.3783
89,-9811.8076,0.03,47.5256,30.309,8.4731
90,-9743.78,0.0284,52.9413,29.9817,8.5678
91,-9685.6153,0.0306,28.1862,28.1125,8.6576
92,-9637.032,0.0256,34.31,27.2235,8.7581
93,-9575.9378,0.0238,26.6676,25.8504,8.8507
94,-9517.352,0.0216,44.417,25.6163,8.9445
95,-9435.4367,0.0188,41.3683,25.3622,9.0386
96,-9372.4957,0.0138,27.8612,24.6773,9.1341
97,-9269.8053,0.0131,40.7292,24.5294,9.2365
98,-9181.9481,0.0153,45.4266,24.4297,9.3298
99,-9120.7102,0.0159,33.3605,24.1438,9.4308
100,-9013.6136,0.0162,32.692,23.8426,9.5281
101,-8923.345,0.015,41.6196,23.7002,9.6217
102,-8799.9325,0.0178,48.8929,23.6207,9.7162
103,-8745.4664,0.015,37.849,23.4215,9.8084
104,-8731.1202,0.0144,26.1635,22.9353,9.9012
105,-8706.0323,0.0144,26.3537,22.5148,9.9954
106,-8639.6848,0.0159,24.477,22.029,10.09
107,-8630.3529,0.0134,32.5922,21.8177,10.1971
108,-8601.1778,0.0144,21.7982,21.2527,10.2958
109,-8584.134,0.0141,36.0917,21.1305,10.3954
110,-8536.2293,0.0141,20.0311,20.4644,10.4871
111,-8486.573,0.0122,34.4375,20.346,10.5815
112,-8430.8146,0.0119,41.1968,20.2872,10.6788
113,-8408.5488,0.0109,30.8625,20.1528,10.7742
114,-8355.4487,0.01,22.1243,19.8286,10.8691
115,-8314.9602,0.0091,37.231,19.7695,10.9694
116,-8223.7122,0.0094,24.8637,19.5926,11.0658
117,-8152.6599,0.0103,44.9833,19.5626,11.1613
118,-8121.6962,0.0094,38.3709,19.5098,11.2566
119,-8089.4206,0.0103,28.489,19.3941,11.3512
120,-8048.8903,0.01,30.1431,19.2892,11.4465
121,-8026.6375,0.0088,28.5468,19.1721,11.5412
122,-8014.9408,0.0072,29.6819,19.0829,11.6351
123,-7965.9214,0.0081,14.4054,18.4701,11.7277
124,-7959.9528,0.0069,27.7142,18.3824,11.8213
