step,best_objective,avg_acceptance_rate,std,temperature,runtime
0,-48260.8697,0.7437,1612.564,3225.128,0.0186
1,-46318.2232,0.8028,1631.9711,1108.0189,0.1095
2,-43948.0724,0.8153,991.1134,891.0843,0.1988
3,-43080.8762,0.8147,903.9266,773.6059,0.2699
4,-41817.1418,0.8103,785.2828,671.3568,0.3596
5,-40678.1753,0.8056,727.5213,594.3829,0.451
6,-38160.9328,0.7775,756.2531,548.8937,0.5436
7,-37058.7812,0.7406,721.6611,503.2673,0.6374
8,-36336.2058,0.7141,764.3417,469.5792,0.7258
9,-35686.0163,0.6831,742.945,438.3201,0.814
10,-34944.453,0.6641,748.8,412.1611,0.9053
11,-33837.9973,0.6438,696.553,385.3429,0.9968
12,-32701.5245,0.6281,709.2094,364.5637,1.0973
13,-32123.3583,0.6009,641.8577,341.4618,1.1759
14,-31766.2232,0.5794,574.0101,315.4857,1.2734
15,-31198.6977,0.5494,668.096,302.5411,1.3715
16,-30313.7116,0.5244,723.8282,293.4532,1.4676
17,-29284.4205,0.4991,639.1869,281.578,1.564
18,-28609.1112,0.4738,567.128,267.0428,1.659
19,-28148.6162,0.4512,488.8243,248.7681,1.7547
20,-27476.1213,0.4403,464.1442,232.5418,1.8475
21,-26558.5179,0.4084,524.2883,223.6885,1.9418
22,-26240.4473,0.3856,485.0976,214.2076,2.0343
23,-25610.5536,0.3775,419.6691,202.1942,2.1259
24,-25040.5087,0.3544,493.8951,196.2096,2.2183
25,-24886.467,0.3309,439.7616,188.8887,2.2967
26,-24601.8551,0.3256,382.5546,179.6868,2.3781
27,-24012.3455,0.3106,427.3681,174.2149,2.4679
28,-23212.4066,0.2931,367.467,166.8574,2.5604
29,-22960.9576,0.2788,345.4697,159.6242,2.6437
30,-22536.8891,0.2662,294.1802,150.2271,2.734
31,-22133.0264,0.2578,372.4739,146.5588,2.8257
32,-21784.8023,0.2487,317.3807,141.349,2.9209
33,-21249.2619,0.2309,225.7401,129.6894,3.0163
34,-20924.0003,0.225,203.929,119.0025,3.1077
35,-20504.0605,0.2159,179.5118,108.187,3.2005
36,-20160.7673,0.1916,199.3867,102.7124,3.2952
37,-19700.2815,0.1844,185.9484,97.6711,3.3924
38,-19335.3691,0.175,226.787,95.4026,3.488
39,-18287.4341,0.1681,209.5101,92.8933,3.5853
40,-17958.8369,0.1544,258.813,91.7171,3.6785
41,-17642.0915,0.1506,158.3827,87.3208,3.7769
42,-17325.6934,0.1422,102.7308,75.5309,3.8745
43,-17101.2617,0.1366,151.1311,73.3116,3.9668
44,-16777.0879,0.1253,220.1345,72.6819,4.0639
45,-16536.2152,0.12,168.2048,71.4243,4.1584
46,-16284.2932,0.1144,108.0945,67.3382,4.2541
47,-16133.4002,0.1003,99.7337,63.3995,4.356
48,-16018.5435,0.0875,89.2199,59.5532,4.4513
49,-15837.5478,0.0841,67.3476,53.6427,4.544
50,-15740.7577,0.0825,99.6777,52.3878,4.6386
51,-15467.4086,0.0819,95.0465,51.0949,4.7684
52,-15304.4705,0.0791,96.2496,49.973,4.8844
53,-15170.8288,0.0775,67.7433,47.2175,4.9716
54,-15035.0657,0.0709,76.4447,45.6808,5.0696
55,-14825.1246,0.0641,63.8635,43.5813,5.165
56,-14651.6132,0.0575,139.3137,43.4221,5.2681
57,-14444.8059,0.0572,76.7773,42.5878,5.3694
58,-14294.9651,0.0578,77.9641,41.8528,5.4532
59,-14187.1981,0.0606,75.7636,41.0987,5.5461
60,-13997.6935,0.0597,64.8959,39.9443,5.6413
61,-13801.1576,0.06,59.8778,38.6573,5.7354
62,-13681.6436,0.0594,76.7887,38.1093,5.8305
63,-13499.1305,0.0581,70.9867,37.4625,5.9275
64,-13351.1965,0.0528,76.4693,36.9868,6.0283
65,-13195.6775,0.0512,72.6877,36.5059,6.1143
66,-13085.4582,0.0469,82.0299,36.1959,6.2009
67,-12750.5116,0.0472,41.2592,34.1375,6.2891
68,-12581.0769,0.0447,73.8865,33.8376,6.3777
69,-12473.5645,0.0431,64.1144,33.4184,6.4599
70,-12273.9673,0.0416,37.2169,31.535,6.5502
71,-12138.8283,0.0406,62.0076,31.2081,6.6265
72,-11955.7185,0.0375,61.0676,30.8869,6.7021
73,-11819.8873,0.0359,59.4215,30.577,6.796
74,-11733.6118,0.0353,50.7958,30.1219,6.8934
75,-11560.8497,0.035,49.4401,29.665,6.9863
76,-11468.0626,0.0353,87.6384,29.5875,7.0809
77,-11315.628,0.0353,53.185,29.2446,7.1773
78,-11201.4815,0.0359,56.9822,28.9778,7.272
79,-11063.7692,0.0341,81.9332,28.8892,7.3658
80,-10953.3154,0.0347,45.3471,28.4061,7.4616
81,-10789.6932,0.0325,62.1216,28.2254,7.5586
82,-10768.8589,0.0278,65.9009,28.0867,7.6552
83,-10655.3193,0.0303,32.2319,27.1166,7.7623
84,-10549.75,0.0319,62.1406,26.9848,7.8682
85,-10387.0403,0.0303,53.5948,26.7739,7.9636
86,-10293.3937,0.0306,52.4355,26.5661,8.0614
87,-10232.4831,0.0322,31.5682,25.6583,8.203
88,-10123.9838,0.0297,35.6527,25.0762,8.3239
89,-10016.6096,0.0266,43.077,24.7944,8.4051
90,-9945.3336,0.0228,47.6023,24.6146,8.496
91,-9885.3219,0.0228,27.1047,23.8194,8.5877
92,-9831.0741,0.0216,33.4229,23.4411,8.6762
93,-9711.0696,0.0188,31.1235,23.0261,8.7697
94,-9644.1076,0.0169,39.9569,22.8651,8.8612
95,-9572.2483,0.0172,27.2685,22.4264,8.9537
96,-9513.7564,0.015,33.5991,22.2033,9.0483
97,-9441.0211,0.015,33.1969,22.0088,9.1472
98,-9390.2893,0.0141,34.1931,21.8367,9.2346
99,-9264.3042,0.0178,20.8543,21.163,9.3237
100,-9222.9791,0.0191,41.565,21.0657,9.4156
101,-9184.339,0.02,30.1684,20.8009,9.5053
102,-9149.233,0.02,24.8302,20.3324,9.5869
103,-9126.2248,0.0194,21.168,19.6498,9.6771
104,-9095.6323,0.0156,13.39,17.5432,9.7683
105,-8983.1334,0.0138,26.221,17.3831,9.862
106,-8956.5185,0.0112,39.5938,17.3433,9.952
107,-8938.1157,0.01,21.1307,17.1326,10.041
108,-8850.168,0.0112,19.8645,16.9177,10.1288
109,-8826.6334,0.0106,41.9682,16.893,10.2182
110,-8826.6334,0.0094,17.3841,16.5733,10.3099
111,-8765.631,0.01,12.7448,15.923,10.3889
112,-8753.584,0.0097,29.5842,15.874,10.4652
113,-8678.2313,0.0084,13.4324,15.3867,10.5552
114,-8671.9572,0.0088,42.3446,15.3744,10.6472
115,-8643.88,0.0097,22.9617,15.2947,10.7437
116,-8607.3478,0.01,19.3041,15.1502,10.8379
117,-8558.6587,0.01,24.3914,15.0786,10.9357
118,-8551.5555,0.0084,45.0216,15.0674,11.0304
119,-8528.6057,0.0094,7.0753,12.9712,11.1221
120,-8501.3057,0.0088,19.8541,12.9044,11.2156
121,-8501.3057,0.0059,27.8316,12.8821,11.3086
122,-8487.8367,0.0066,27.8316,12.8821,11.4039
123,-8414.5883,0.0075,12.958,12.7192,11.499
124,-8369.8789,0.0062,40.3619,12.7133,11.5918
125,-8367.8629,0.0059,22.1782,12.6836,11.7094
126,-8363.9123,0.0069,4.6386,10.2178,11.7997
127,-8316.0847,0.0081,23.1066,10.2057,11.8896
128,-8289.2342,0.0088,26.5883,10.1965,11.9904
129,-8262.6493,0.0088,11.5728,10.0769,12.094
130,-8247.691,0.0097,15.1499,10.0257,12.1968
131,-8240.3773,0.0094,15.8663,9.9774,12.293
132,-8240.3773,0.0066,7.1805,9.5038,12.384
133,-8188.866,0.005,11.18,9.4283,12.4788
134,-8168.0092,0.005,17.7495,9.4143,12.5759
135,-8149.1782,0.0044,14.8186,9.3903,12.677
136,-8149.1782,0.0041,10.6546,9.3347,12.7787
137,-8106.9013,0.005,0.0,9.3347,12.8718
138,-8087.1667,0.005,18.2556,9.3223,12.9608
139,-8067.3808,0.0047,22.7727,9.3159,13.0531
140,-8026.5898,0.0044,18.68,9.3051,13.1467
141,-7939.0027,0.0056,22.225,9.2992,13.2356
142,-7939.0027,0.005,34.8391,9.2972,13.3301
143,-7939.0027,0.0047,3.5767,7.9142,13.4252
144,-7845.3653,0.0059,0.0,7.9142,13.5216
145,-7788.7128,0.0053,35.1204,7.9131,13.6138
146,-7788.7128,0.0038,0.0,7.9131,13.7065
147,-7788.7128,0.0031,0.0,7.9131,13.803
148,-7788.7128,0.0034,0.0,7.9131,13.8956
149,-7788.7128,0.0012,1.5987,4.3221,13.9873
150,-7788.7128,0.0009,1.5987,4.3221,14.08
151,-7769.3127,0.0022,1.5987,4.3221,14.1726
152,-7754.5863,0.0025,8.6616,4.3197,14.2656
153,-7708.4047,0.0025,12.5378,4.3189,14.3619
154,-7675.5186,0.0028,22.0208,4.3187,14.4602
155,-7663.2726,0.0034,0.0,4.3187,14.558
156,-7663.2726,0.0022,0.965,2.6757,14.6576
157,-7663.2726,0.0016,0.965,2.6757,14.7528
158,-7663.2726,0.0012,0.965,2.6757,14.8477
159,-7663.2726,0.0009,0.0,2.6757,14.9406
160,-7651.8074,0.0006,0.0,2.6757,15.0374
161,-7651.8074,0.0006,0.0,2.6757,15.1344
162,-7651.8074,0.0006,0.0,2.6757,15.2276
163,-7651.8074,0.0003,0.0,2.6757,15.3266
164,-7651.8074,0.0003,0.0,2.6757,15.4203
165,-7651.8074,0.0,0.0,2.6757,15.5184
166,-7651.8074,0.0,0.0,2.6757,15.6171
167,-7651.8074,0.0,0.0,2.6757,15.7101
168,-7651.8074,0.0,0.0,2.6757,15.8041
169,-7651.8074,0.0,0.0,2.6757,15.9039
170,-7651.8074,0.0,0.0,2.6757,16.0075
171,-7651.8074,0.0,0.0,2.6757,16.1131
172,-7649.6675,0.0003,0.0,2.6757,16.2131
173,-7649.6675,0.0003,0.0,2.6757,16.3088
174,-7628.8726,0.0006,0.0,2.6757,16.4008
175,-7628.8726,0.0009,0.0,2.6757,16.4945
176,-7628.8726,0.0009,0.0,2.6757,16.5901
177,-7579.5565,0.0009,0.0,2.6757,16.6859
178,-7579.5565,0.0012,0.0,2.6757,16.7846
179,-7579.5565,0.0012,0.0,2.6757,16.8763
180,-7579.5565,0.0012,0.0,2.6757,16.9758
181,-7579.5565,0.0012,0.0,2.6757,17.072
182,-7579.5565,0.0009,0.0,2.6757,17.1771
183,-7579.5565,0.0006,0.0,2.6757,17.2815
184,-7569.2405,0.0009,0.0,2.6757,17.3766
185,-7569.2405,0.0009,5.5044,2.6751,17.4808
186,-7569.2405,0.0019,0.0,2.6751,17.559
187,-7569.2405,0.0019,0.7988,2.3453,17.6495
188,-7551.1651,0.0025,0.7988,2.3453,17.7503
189,-7549.2141,0.0022,9.3841,2.3452,17.846
190,-7549.2141,0.0019,0.0,2.3452,17.9441
191,-7549.2141,0.0012,0.0,2.3452,18.0383
192,-7500.5249,0.0019,0.0,2.3452,18.1356
193,-7442.1418,0.0016,24.8468,2.3452,18.2303
194,-7442.1418,0.0019,0.0,2.3452,18.3307
195,-7442.1418,0.0019,0.3162,0.9278,18.4314
196,-7379.3367,0.0019,0.3162,0.9278,18.5243
197,-7379.3367,0.0012,0.0,0.9278,18.6194
198,-7379.3367,0.0009,0.0,0.9278,18.7122
199,-7379.3367,0.0003,0.0,0.9278,18.8629
200,-7379.3367,0.0003,0.0,0.9278,18.9487
