step,best_objective,avg_acceptance_rate,std,temperature,runtime
0,-47940.4002,0.6859,1973.2904,3946.5808,0.0202
1,-45547.3029,0.7919,2051.387,1221.0943,0.1139
2,-43685.586,0.8062,834.3151,768.2616,0.2065
3,-42641.4394,0.8044,881.8505,690.6676,0.2977
4,-40601.1018,0.7953,693.2896,590.1518,0.386
5,-39070.331,0.8094,753.3428,542.268,0.4789
6,-37606.1217,0.7681,683.966,500.8406,0.5711
7,-36506.3984,0.7359,879.627,481.4904,0.6648
8,-35363.2974,0.7097,709.31,445.6742,0.7582
9,-34660.3768,0.6828,653.5929,408.4545,0.8598
10,-33707.9452,0.6522,624.4416,375.1932,0.9623
11,-32931.1809,0.6312,734.5453,358.5897,1.0637
12,-32447.3638,0.6025,716.51,342.8381,1.1656
13,-31901.2381,0.5772,574.1277,316.5532,1.2696
14,-31365.4136,0.5547,496.322,286.2681,1.3724
15,-31030.8371,0.5241,634.528,275.607,1.475
16,-30349.4882,0.4966,527.0666,259.4358,1.5779
17,-29843.75,0.4734,492.1032,243.5403,1.6811
18,-29215.1539,0.4472,535.3405,233.6281,1.7821
19,-28744.7708,0.4222,388.2392,212.6203,1.8867
20,-28046.6055,0.4091,487.0572,204.8993,1.9893
21,-27606.1685,0.3975,484.1448,198.1186,2.0952
22,-26926.8382,0.3819,557.4522,194.1998,2.1987
23,-26369.0289,0.3656,355.2411,181.0162,2.3012
24,-25807.6814,0.36,416.7338,174.7067,2.4025
25,-25406.5271,0.3406,379.7129,167.549,2.5033
26,-24468.1995,0.3234,326.9289,158.3763,2.6063
27,-23512.8526,0.3078,417.9089,154.8255,2.7099
28,-23047.4669,0.2903,286.0137,145.3273,2.8058
29,-22747.7896,0.2691,287.8423,138.2091,2.9007
30,-22199.262,0.2538,246.8254,129.4835,2.9948
31,-21680.4575,0.2341,280.741,124.9391,3.0903
32,-21339.1623,0.2244,270.4414,120.7453,3.185
33,-20980.5576,0.2156,214.1187,113.7583,3.2811
34,-20655.6488,0.2031,222.8244,108.927,3.3752
35,-20204.5954,0.1938,248.5252,106.0727,3.4695
36,-19816.2597,0.1881,228.2717,102.8847,3.5662
37,-19413.4013,0.1741,237.92,100.4306,3.6598
38,-19196.8921,0.1681,217.2666,97.6818,3.7478
39,-18697.9655,0.1584,155.8095,91.4328,3.8424
40,-18042.4973,0.1547,178.9267,88.3135,3.9367
41,-17662.8123,0.1397,172.686,85.3491,4.0312
42,-17417.8727,0.135,153.4632,81.9787,4.1249
43,-17142.3489,0.1222,176.1945,80.1042,4.218
44,-16766.6421,0.1169,143.7897,77.2512,4.3124
45,-16416.6914,0.1131,149.3787,75.1149,4.4061
46,-16233.5377,0.115,161.669,73.6382,4.5013
47,-15913.1689,0.1106,143.2043,71.6622,4.5959
48,-15659.6834,0.1094,114.4679,68.3723,4.6901
49,-15434.0813,0.1038,165.827,67.4543,4.7832
50,-15264.1739,0.0938,117.1225,65.1468,4.8775
51,-14841.323,0.0866,135.4222,63.9401,4.9713
52,-14632.4417,0.0809,130.4049,62.7723,5.0653
53,-14508.1326,0.0762,91.0168,59.8563,5.1609
54,-14356.6255,0.0734,80.8845,56.6284,5.2548
55,-14176.0993,0.0759,88.6598,54.6918,5.3487
56,-14015.5356,0.0763,117.7996,53.9355,5.4436
57,-13906.6211,0.0741,79.0433,51.6284,5.5394
58,-13663.2632,0.0734,71.9913,49.146,5.6354
59,-13479.6132,0.0691,97.8088,48.3131,5.7295
60,-13351.7775,0.0638,89.0616,47.3426,5.8235
61,-13239.6468,0.0588,89.2957,46.5159,5.9179
62,-13116.2665,0.0572,77.5144,45.4311,6.0119
63,-12899.4517,0.0531,55.3346,42.8746,6.1052
64,-12853.2873,0.0512,77.7882,42.1648,6.1992
65,-12704.9463,0.0491,37.7861,37.1487,6.293
66,-12553.5633,0.0459,41.1333,34.7609,6.3856
67,-12407.3775,0.0456,59.3522,34.1597,6.48
68,-12296.0714,0.0444,64.7026,33.7277,6.574
69,-12103.9775,0.0422,40.7913,32.1855,6.6674
70,-12016.2953,0.0372,75.6594,31.9866,6.7622
71,-11913.2615,0.0372,30.5583,29.5598,6.856
72,-11863.5785,0.0325,51.4016,29.1628,6.9498
73,-11788.0692,0.0284,43.4803,28.6199,7.0441
74,-11544.7521,0.03,48.4148,28.2969,7.1397
75,-11445.8954,0.0306,85.4981,28.2374,7.2342
76,-11270.5786,0.0275,47.811,27.8962,7.3264
77,-11204.754,0.0284,54.8523,27.7014,7.4204
78,-11125.9916,0.0309,51.4918,27.4651,7.5127
79,-10839.895,0.0306,41.666,27.0015,7.6049
80,-10740.087,0.0269,105.296,26.9745,7.6993
81,-10589.044,0.0278,43.0475,26.6318,7.7933
82,-10553.6055,0.0247,55.2569,26.4716,7.8887
83,-10400.9533,0.0234,31.0229,25.7027,7.9833
84,-10308.6272,0.02,63.8876,25.6263,8.0772
85,-10245.8896,0.0238,47.8556,25.473,8.1708
