step,best_objective,avg_acceptance_rate,std,temperature,runtime
0,-49567.6592,0.6969,1744.986,3489.972,0.0171
1,-47325.2774,0.7825,1682.3781,945.0634,0.0732
2,-45649.1583,0.785,714.7335,646.4825,0.1282
3,-44133.42,0.7812,671.5741,550.0025,0.1825
4,-43166.6066,0.7756,744.6693,508.732,0.2375
5,-41604.5037,0.7781,524.2301,427.3471,0.2924
6,-39678.5786,0.73,736.7627,410.8888,0.3474
7,-38659.7825,0.7031,616.5515,381.1137,0.4028
8,-37226.8289,0.675,729.0025,365.7113,0.4577
9,-36449.5603,0.6469,664.3823,346.9134,0.5131
10,-35558.8943,0.6138,467.7054,303.2921,0.5665
11,-35076.9259,0.5963,593.0567,288.5793,0.6275
12,-34043.1762,0.5581,456.0549,262.3499,0.6839
13,-33292.5938,0.5131,451.0798,242.3558,0.7407
14,-32632.886,0.4856,350.6674,211.6085,0.7966
15,-31936.5741,0.4606,358.2541,193.7159,0.8526
16,-31079.3324,0.43,356.3724,180.5934,0.9085
17,-29848.9798,0.4219,366.9049,171.3297,0.9653
18,-29406.0294,0.4094,384.9972,164.7532,1.022
19,-28643.5821,0.3775,377.5396,158.7945,1.0784
20,-28161.3405,0.3544,383.6864,153.9433,1.1346
21,-27350.3046,0.3425,284.9176,144.0297,1.1905
22,-26904.3945,0.3162,408.5719,141.3597,1.2484
23,-26334.5521,0.31,217.2613,126.7893,1.305
24,-25436.2159,0.3012,197.7647,114.334,1.3627
25,-24790.7177,0.2838,292.6302,111.6194,1.4193
26,-24359.1691,0.2563,267.7446,108.5111,1.4768
27,-23833.0362,0.2531,290.9439,106.4515,1.5329
28,-23597.9839,0.2319,324.7019,105.0808,1.5903
29,-22970.492,0.2125,204.3882,100.3086,1.6478
30,-22579.6953,0.2119,166.2472,93.5297,1.7072
31,-22205.4517,0.21,262.9861,92.1645,1.7659
32,-21667.9322,0.1938,135.8166,83.6144,1.9575
33,-21310.7491,0.185,158.5477,79.991,2.0039
34,-21002.8286,0.1813,162.9109,77.2616,2.0615
35,-20186.5717,0.17,150.6209,74.3143,2.1191
36,-19991.2208,0.1631,257.3631,73.8171,2.1757
37,-19654.2931,0.1581,154.2766,71.6899,2.2318
38,-19453.434,0.1469,165.3971,70.1796,2.2899
39,-19165.4375,0.1406,171.832,69.0088,2.3489
40,-18713.9434,0.1338,110.1445,65.1578,2.4084
41,-18459.4937,0.1269,150.8518,63.9694,2.4687
42,-18145.9659,0.1125,112.2551,61.4611,2.5305
43,-17901.203,0.1144,106.7277,59.2111,2.5919
44,-17515.0939,0.1069,91.8708,56.1756,2.6533
45,-17365.4283,0.1013,127.6265,55.2786,2.7125
46,-17308.4474,0.0931,75.2244,51.5651,2.7721
47,-17213.9477,0.0856,63.7233,47.3385,2.8304
48,-16956.0552,0.0762,33.929,33.233,2.891
49,-16616.5884,0.0794,91.2582,33.0088,2.948
50,-16479.001,0.0719,110.3728,32.8805,3.0059
51,-16247.3735,0.0731,71.2266,32.4551,3.0618
52,-15796.5827,0.0744,76.9126,32.1284,3.1188
53,-15646.1207,0.0738,128.2994,32.0591,3.1762
54,-15482.5302,0.065,43.19,30.365,3.2334
55,-15234.9146,0.0675,55.518,29.7735,3.2909
56,-14976.2114,0.0619,76.3292,29.553,3.3481
57,-14868.1321,0.0575,90.2129,29.433,3.4086
58,-14585.5343,0.0569,59.3744,29.0498,3.4663
59,-14516.7462,0.0544,90.1706,28.946,3.5233
60,-14310.2543,0.0506,30.3127,26.5688,3.5798
61,-14175.1348,0.0488,58.9258,26.3369,3.6371
62,-14045.0306,0.05,56.7623,26.0953,3.6945
63,-13801.2691,0.0488,48.3537,25.7116,3.752
64,-13719.3951,0.0456,70.5685,25.5968,3.8091
65,-13627.6826,0.0419,36.286,24.838,3.8675
66,-13485.8691,0.0425,35.5002,24.1739,3.9249
67,-13311.0068,0.0419,47.7927,23.9221,3.9775
68,-13222.222,0.0369,63.8619,23.8216,4.0323
69,-13058.5079,0.0375,34.6855,23.286,4.0915
70,-12906.0115,0.0375,65.9369,23.2122,4.1498
71,-12821.4158,0.0363,63.9649,23.1325,4.2062
72,-12739.0984,0.0319,43.1737,22.8866,4.2617
73,-12586.3592,0.0338,37.0304,22.558,4.3181
74,-12510.0696,0.0331,43.4488,22.354,4.3772
75,-12143.8348,0.0331,32.4873,21.8972,4.4347
76,-12082.0325,0.0294,118.9761,21.8884,4.4932
77,-11980.7252,0.0312,36.992,21.6329,4.5512
78,-11894.2162,0.0275,39.9878,21.4276,4.6078
79,-11838.8537,0.0288,31.3566,21.0681,4.665
80,-11778.7288,0.0275,26.628,20.5011,4.7221
81,-11684.2892,0.0275,32.8554,20.2382,4.7775
82,-11504.4129,0.0269,30.1459,19.9159,4.8298
83,-11471.3397,0.025,69.9884,19.8919,4.8859
84,-11279.2108,0.02,9.0843,13.1581,4.9426
85,-11192.6719,0.0188,73.9264,13.1552,5.0005
86,-11130.2802,0.0188,35.3392,13.1303,5.0537
87,-11051.518,0.0175,25.8461,13.0673,5.1113
88,-10948.3165,0.0194,32.1227,13.0371,5.1689
89,-10843.2483,0.0194,31.8229,13.0031,5.2204
90,-10809.71,0.0181,39.7953,12.9859,5.277
91,-10751.387,0.0219,17.8999,12.8118,5.3347
92,-10709.9755,0.0206,28.2569,12.7609,5.3921
93,-10640.3853,0.0188,29.111,12.7176,5.4503
94,-10640.353,0.0194,28.4406,12.6759,5.5045
95,-10618.1141,0.0225,11.6026,12.0775,5.5614
96,-10445.9727,0.0188,13.4093,11.7015,5.6177
97,-10398.3835,0.02,62.7668,11.6987,5.6744
98,-10297.7227,0.0213,24.997,11.6519,5.7318
99,-10274.6068,0.0219,36.5843,11.6363,5.7903
100,-10223.562,0.0213,19.2332,11.527,5.8459
101,-10170.613,0.02,19.7189,11.432,5.9037
102,-10104.9874,0.0181,17.5032,11.3085,5.9603
103,-10001.617,0.0213,26.8511,11.2786,6.0168
104,-9943.4164,0.0194,34.0444,11.2615,6.0737
105,-9897.2989,0.0181,45.784,11.2552,6.1304
106,-9815.7141,0.0194,16.558,11.1308,6.1864
107,-9713.8395,0.0213,31.3504,11.1119,6.2443
108,-9713.8395,0.0144,33.6936,11.0953,6.301
109,-9702.8436,0.015,0.0,11.0953,6.3573
110,-9617.3711,0.0144,10.9983,10.7686,6.4133
111,-9498.7608,0.0131,37.234,10.7612,6.4701
112,-9429.0596,0.0125,42.9341,10.7569,6.527
113,-9391.0939,0.0156,36.6032,10.7501,6.5844
114,-9391.0939,0.0144,19.1312,10.6918,6.642
115,-9341.8107,0.015,10.6825,10.3964,6.6988
116,-9341.8107,0.0125,26.5658,10.378,6.7565
117,-9341.8107,0.0106,26.5658,10.378,6.813
118,-9304.5242,0.0106,8.5404,10.0008,6.8704
119,-9223.2566,0.0112,13.5237,9.9165,6.9272
120,-9158.0798,0.0094,37.554,9.9124,6.9847
121,-9115.8029,0.0119,21.0233,9.8931,7.0412
122,-9047.197,0.0125,16.9965,9.8476,7.0988
123,-9047.197,0.01,27.8018,9.8368,7.1558
