step,best_objective,avg_acceptance_rate,std,temperature,runtime
0,-47181.1216,0.6656,1969.9884,3939.9768,0.0128
1,-46018.7861,0.7719,1862.0407,945.3586,0.0651
2,-44550.5778,0.7812,831.5437,719.9642,0.1161
3,-43568.3044,0.7781,849.5957,641.3763,0.1668
4,-42244.2966,0.7738,750.1105,568.4391,0.2161
5,-41168.3467,0.7837,564.5904,467.8277,0.2652
6,-39790.9754,0.7438,648.6654,435.4485,0.3153
7,-38948.108,0.7175,498.1244,373.6529,0.3657
8,-37961.7224,0.6906,542.9039,342.5504,0.42
9,-37204.2196,0.6494,504.7888,312.4356,0.4718
10,-36288.4017,0.6069,587.4584,296.8034,0.5233
11,-35404.9012,0.58,543.2759,279.2025,0.5749
12,-34118.6917,0.5494,660.254,270.8877,0.6262
13,-33474.8525,0.5206,604.8065,260.944,0.6773
14,-32705.7946,0.5019,634.1535,253.2282,0.734
15,-31823.7526,0.4925,517.7851,240.729,0.7868
16,-31130.7967,0.4788,560.348,232.4975,0.8448
17,-30501.3364,0.4644,558.7967,225.2036,0.9044
18,-30121.4276,0.4538,464.0294,214.14,0.9647
19,-29735.3415,0.4362,545.6939,208.4338,1.0254
20,-29255.0116,0.425,452.1547,199.5664,1.0855
21,-28856.6247,0.4031,507.7703,194.2231,1.1461
22,-28503.2854,0.3894,346.2533,179.9162,1.2055
23,-27899.8492,0.3662,394.1031,172.5651,1.2652
24,-27327.905,0.3644,403.3634,166.8065,1.3261
25,-26797.3811,0.34,400.5109,161.6651,1.3863
26,-26009.6582,0.325,338.7034,154.444,1.4463
27,-25635.3838,0.3081,467.7579,152.1318,1.5054
28,-25113.314,0.2925,290.5699,143.6341,1.5646
29,-24458.6726,0.2769,278.7994,136.1545,1.6241
30,-24180.2124,0.2656,298.4224,131.2904,1.6849
31,-23546.1294,0.2512,210.9854,120.2512,1.7449
32,-23302.7152,0.2288,229.0335,114.1627,1.8023
33,-22883.8574,0.2138,196.5099,106.8909,1.863
34,-22689.5454,0.1944,182.7284,100.2429,1.925
35,-22232.1846,0.1944,254.5662,98.3833,1.9868
36,-21833.3523,0.1788,195.9428,94.6735,2.0481
37,-21610.3174,0.1844,173.8233,90.4254,2.1097
38,-21042.297,0.1788,192.5033,87.7191,2.1726
39,-20432.4268,0.1706,215.258,86.0264,2.2358
40,-20051.1917,0.1544,193.616,83.9602,2.2987
41,-19812.2309,0.1488,201.8546,82.4224,2.3616
42,-19400.4218,0.1394,141.354,78.5064,2.4233
43,-18987.8336,0.1431,167.5766,76.6269,2.4851
44,-18732.7665,0.1456,226.0675,75.9061,2.5469
45,-18459.052,0.1431,128.8852,72.2559,2.6086
46,-18057.5882,0.145,111.5176,67.7617,2.6712
47,-17730.8003,0.1331,149.7526,66.2492,2.7326
48,-17546.1596,0.1175,130.3668,64.3111,2.7961
49,-17114.4432,0.1106,84.3374,58.9147,2.8618
50,-16751.1887,0.105,145.6843,58.1604,2.9232
51,-16620.932,0.0969,141.9567,57.4205,2.986
52,-16439.1238,0.0969,136.8953,56.6903,3.0486
53,-16310.9892,0.0962,89.0534,54.2479,3.1131
54,-15838.496,0.0869,95.0167,52.5509,3.1745
55,-15681.4276,0.0794,156.7601,52.2393,3.2345
56,-15540.1061,0.0756,74.9649,49.7815,3.2946
57,-15342.4682,0.0694,86.968,48.5114,3.359
58,-15119.7573,0.065,96.3079,47.7248,3.4203
