step,best_objective,avg_acceptance_rate,std,temperature,runtime
0,-49889.48,0.7344,1465.0837,2930.1674,0.0111
1,-48260.7282,0.8281,1616.302,1152.7643,0.0585
2,-45840.4273,0.8175,626.9493,611.2619,0.1136
3,-44014.7966,0.81,841.6117,576.8349,0.1686
4,-41921.3711,0.79,615.2939,507.7273,0.2234
5,-39683.5336,0.7837,655.9981,466.5492,0.2749
6,-38963.6827,0.7381,870.5547,452.7364,0.3261
7,-37966.7682,0.7137,735.3993,427.3762,0.3826
8,-37425.627,0.69,727.2551,404.1797,0.4381
9,-36569.0503,0.6725,582.4452,366.3389,0.4946
10,-36245.108,0.6475,650.646,346.1103,0.5504
11,-35260.3168,0.6206,538.6855,316.5659,0.6028
12,-34661.8255,0.5831,525.5008,292.5466,0.6542
13,-33468.7437,0.5469,404.9152,253.8811,0.7057
14,-32752.287,0.5181,557.5259,244.0765,0.7586
15,-31490.411,0.495,441.0709,227.2019,0.8132
16,-30523.6666,0.4831,463.355,215.8554,0.8685
17,-29799.6882,0.4738,442.6112,205.1755,0.9258
18,-29426.4747,0.4525,385.0334,192.0796,0.9817
19,-28882.0932,0.4194,357.6394,179.4805,1.0387
20,-28255.1712,0.3938,315.2566,165.643,1.0942
21,-27658.5313,0.3569,342.7548,157.658,1.151
22,-26925.2932,0.345,387.9632,153.1624,1.2082
23,-26440.827,0.3356,302.2457,145.005,1.2646
24,-25758.2978,0.3275,280.8668,136.9427,1.3212
25,-25296.3852,0.3113,328.0178,132.8479,1.3774
26,-24923.9493,0.2969,186.5274,115.5568,1.436
27,-24425.2177,0.2719,214.3825,108.6678,1.4924
28,-24002.1044,0.2556,323.8118,107.1048,1.5498
29,-23276.236,0.2419,174.7298,98.6443,1.612
30,-22620.3455,0.2262,253.0347,96.5854,1.6725
31,-21763.4357,0.2219,192.3895,92.552,1.734
32,-21466.8354,0.2075,282.1054,91.4542,1.7942
33,-21087.3242,0.1888,107.0154,76.0524,1.8558
34,-20496.6401,0.1794,164.3773,73.8372,1.9174
35,-20263.9922,0.1706,217.6966,73.0067,1.9789
36,-20005.8874,0.1512,200.4166,72.0298,2.0411
37,-19632.9558,0.1456,133.0123,69.2262,2.102
38,-19253.78,0.1431,197.3818,68.4954,2.1631
39,-18977.68,0.1344,154.8137,67.0789,2.225
40,-18778.8307,0.1288,145.6786,65.5968,2.2857
41,-18650.7256,0.1244,177.7849,64.8693,2.348
42,-18291.5039,0.1162,120.1393,62.7279,2.4092
43,-18156.0957,0.1056,128.6542,61.2742,2.4709
44,-18022.5425,0.1044,65.7913,53.1822,2.5348
45,-17697.605,0.1062,108.2151,52.031,2.5965
46,-17495.7952,0.1038,122.9885,51.2957,2.6583
47,-17276.8108,0.0919,85.2578,49.3047,2.721
48,-16934.2634,0.0925,75.0185,47.0795,2.7823
49,-16688.8399,0.0838,148.5635,46.8299,2.8433
50,-16473.4159,0.0762,88.5625,45.7928,2.9061
51,-16149.2931,0.0756,111.4972,45.3509,2.9691
52,-15951.4227,0.0756,116.7478,44.9829,3.0324
53,-15849.5674,0.0725,85.6921,44.0925,3.0958
54,-15718.8092,0.0706,64.0024,42.2378,3.1592
55,-15544.472,0.0675,102.7367,41.8565,3.2201
56,-15362.2471,0.0625,76.4227,41.0093,3.2814
57,-15233.115,0.0631,82.2017,40.4218,3.3448
58,-15035.8174,0.0619,92.504,40.0272,3.4036
59,-14924.4096,0.0575,68.3018,39.1142,3.4604
60,-14730.3875,0.0569,73.1436,38.477,3.5258
61,-14509.1285,0.0544,95.1934,38.2066,3.5825
62,-14426.8594,0.0512,67.3859,37.5041,3.6397
63,-14239.8046,0.0481,74.7632,37.0496,3.6958
64,-14127.373,0.0519,115.9345,36.9393,3.7511
65,-13715.3329,0.0488,72.1831,36.459,3.8028
66,-13650.4353,0.0512,136.4842,36.3947,3.86
67,-13555.5764,0.0494,50.5019,35.1174,3.9167
68,-13476.4321,0.0494,34.6856,32.0017,3.9722
69,-13231.9207,0.0475,44.9737,30.9554,4.0289
70,-13201.3229,0.0462,67.1517,30.6836,4.0862
71,-13027.5502,0.0394,38.9037,29.4113,4.1426
72,-12982.9885,0.0356,59.9428,29.1509,4.1992
73,-12836.7537,0.0319,22.9174,25.5403,4.2508
74,-12631.5515,0.0325,55.9517,25.3913,4.3026
