step,best_objective,avg_acceptance_rate,std,temperature,runtime
0,-50312.7775,0.7,1298.6197,2597.2393,0.0127
1,-49132.3127,0.7837,1545.9872,1075.8886,0.0496
2,-47527.2943,0.7725,542.4864,422.5446,0.0883
3,-45193.7214,0.76,531.3092,381.7788,0.1214
4,-43610.3336,0.745,687.2169,367.4302,0.1547
5,-42702.7225,0.7538,622.4491,349.7297,0.1914
6,-41531.6578,0.7062,462.9974,317.5129,0.2278
7,-40168.9544,0.6875,455.6045,289.0191,0.2657
8,-39606.7622,0.6575,672.5131,282.0392,0.3055
9,-39013.0843,0.625,481.38,263.8701,0.3394
10,-37272.6692,0.5775,320.5481,218.5346,0.3736
11,-35795.2123,0.55,553.6407,213.191,0.4162
12,-35031.7063,0.5163,574.3951,208.6696,0.4547
13,-33617.6917,0.485,453.4014,200.1059,0.4949
14,-32876.3601,0.4738,607.6713,196.9527,0.5323
15,-32307.7674,0.4662,457.1678,190.1038,0.57
16,-31823.7212,0.4562,501.6723,185.543,0.6129
17,-31260.6401,0.4438,284.8943,164.9141,0.6505
18,-30956.8692,0.4275,210.3632,135.3406,0.6888
19,-30503.9597,0.4025,274.8076,128.3885,0.7263
20,-30068.4,0.3763,166.3657,106.3671,0.7648
21,-29337.2957,0.3525,151.7532,92.2562,0.8043
22,-28053.0963,0.32,313.9676,91.2478,0.8422
23,-27381.8268,0.3087,433.513,90.8923,0.885
24,-26667.4783,0.2812,268.0965,89.454,0.9234
25,-26005.8872,0.2612,185.3431,85.6645,0.9673
26,-25550.3129,0.2325,209.2284,83.5022,1.0059
27,-24656.9963,0.2275,203.0753,81.5147,1.0483
28,-24285.2259,0.21,227.2597,80.2348,1.0866
29,-23731.9383,0.2062,187.6989,78.2351,1.1288
30,-23197.5769,0.1975,178.9853,76.1796,1.1673
31,-22831.5094,0.1938,176.4522,74.3069,1.2069
32,-22478.4108,0.1813,131.8199,70.4119,1.2456
33,-22203.7014,0.1688,102.6794,64.3174,1.2839
34,-21843.441,0.17,113.5237,61.2205,1.3162
35,-21449.6677,0.165,176.6491,60.5158,1.3492
36,-21086.5858,0.1625,164.5469,59.704,1.388
37,-20703.1629,0.15,179.4091,59.1157,1.4268
38,-20028.9058,0.1438,108.898,56.8133,1.466
39,-19757.3452,0.125,237.2188,56.623,1.5062
40,-19587.8637,0.115,101.0925,54.536,1.5454
41,-19384.5972,0.1038,60.9768,47.6264,1.5844
42,-19033.1855,0.1125,74.3541,45.4135,1.6178
43,-18806.0416,0.1162,129.866,45.0303,1.6513
44,-18733.5197,0.1138,104.7806,44.3104,1.6888
45,-18652.0816,0.1025,65.6331,41.7308,1.7225
46,-18589.873,0.0925,25.1172,22.6631,1.7568
47,-18448.4782,0.075,30.1204,21.1539,1.7929
48,-18135.0936,0.0675,53.8983,20.9782,1.8312
49,-17966.5989,0.065,99.0212,20.9531,1.8698
50,-17834.4187,0.0612,54.2948,20.8079,1.9143
51,-17659.1578,0.065,52.3966,20.6593,1.9491
52,-17584.8024,0.0613,71.9271,20.6,1.9928
53,-17471.5112,0.06,25.4147,19.4124,2.0321
54,-17260.7931,0.0575,36.644,19.0925,2.07
55,-16961.6972,0.06,102.3556,19.0791,2.1041
56,-16478.3099,0.0613,67.3676,19.0304,2.139
57,-16348.7056,0.06,137.2346,19.0246,2.175
58,-16203.3487,0.0525,40.3945,18.8032,2.2103
59,-15755.2495,0.0562,63.6015,18.755,2.248
60,-15643.9295,0.055,119.4244,18.7473,2.2857
61,-15523.4354,0.0488,29.6393,18.2672,2.3205
62,-15371.0074,0.0525,39.9277,18.1065,2.3591
63,-15220.4203,0.0588,43.4727,17.9773,2.3978
64,-15121.3879,0.0525,58.1302,17.9188,2.4365
65,-14790.1721,0.055,33.3822,17.6474,2.4809
66,-14762.904,0.0562,132.5547,17.6431,2.5192
67,-14529.7049,0.0588,26.6353,17.1154,2.5624
68,-14515.7006,0.0512,82.5395,17.0986,2.6011
69,-14404.874,0.045,9.5339,10.9565,2.6413
70,-14219.2491,0.0438,48.1634,10.9454,2.6786
71,-14106.4862,0.045,56.7556,10.9389,2.7175
72,-13891.1093,0.04,35.9176,10.9124,2.7626
73,-13841.1291,0.04,67.5269,10.9088,2.8013
74,-13711.3203,0.045,21.8977,10.8063,2.8438
75,-13540.1953,0.0412,42.1333,10.7906,2.8823
76,-13478.9795,0.0412,50.1078,10.7821,2.9217
77,-13323.5802,0.0425,27.4943,10.731,2.9595
78,-13278.056,0.0475,53.6217,10.724,2.9988
79,-13275.4656,0.0425,18.966,10.5515,3.043
80,-13271.1923,0.0388,1.3232,0.2497,3.0814
81,-13120.8673,0.04,2.4053,0.2497,3.1208
82,-13012.5686,0.0338,42.7169,0.2497,3.1594
83,-12978.6792,0.0288,32.9465,0.2497,3.1982
84,-12779.8086,0.0325,13.0988,0.2497,3.2393
85,-12711.2335,0.0312,66.1749,0.2497,3.2792
86,-12617.403,0.0238,10.2927,0.2497,3.322
87,-12346.288,0.0212,23.9074,0.2497,3.361
88,-12332.0745,0.0175,111.0793,0.2497,3.4001
89,-12251.2363,0.0175,6.1217,0.2497,3.4389
90,-12235.753,0.0162,21.3299,0.2497,3.4791
91,-12103.5178,0.02,0.0,0.2497,3.5243
92,-12026.214,0.0238,39.8625,0.2497,3.5631
93,-12005.803,0.025,26.1148,0.2497,3.6064
94,-12005.803,0.0188,7.8387,0.2497,3.645
95,-11963.7341,0.0188,7.8387,0.2497,3.6859
96,-11867.8741,0.0162,0.0,0.2497,3.7192
97,-11843.7274,0.0125,34.7687,0.2497,3.7527
98,-11698.7801,0.0125,0.0,0.2497,3.7949
99,-11667.809,0.0162,52.8746,0.2497,3.8332
100,-11660.1786,0.0162,10.9404,0.2497,3.8726
101,-11651.217,0.015,0.0,0.2497,3.9039
102,-11413.3447,0.02,3.2108,0.2497,3.9383
103,-11413.3447,0.0162,86.831,0.2497,3.9758
104,-11351.6488,0.0175,86.831,0.2497,4.0083
105,-11325.8508,0.0175,27.6085,0.2497,4.0458
106,-11153.7786,0.0162,0.0,0.2497,4.0833
107,-11152.1483,0.01,83.4675,0.2497,4.1221
108,-11069.5967,0.0138,0.0,0.2497,4.1616
109,-11022.0655,0.0112,33.2744,0.2497,4.2007
110,-10913.9157,0.0175,21.8545,0.2497,4.2402
111,-10898.1431,0.0175,36.019,0.2497,4.283
112,-10868.5636,0.02,6.8409,0.2497,4.3191
113,-10792.7828,0.0188,12.45,0.2497,4.358
114,-10737.9883,0.0188,32.659,0.2497,4.396
115,-10507.6413,0.0175,18.031,0.2497,4.435
116,-10414.1184,0.0212,89.9369,0.2497,4.4761
117,-10412.0276,0.0188,28.7582,0.2497,4.5142
118,-10412.0276,0.0162,0.0,0.2497,4.551
119,-10377.7128,0.015,0.0,0.2497,4.5896
120,-10335.1266,0.0125,0.0,0.2497,4.6281
121,-10333.4963,0.0075,14.7753,0.2497,4.6708
122,-10278.1194,0.01,0.0,0.2497,4.7092
123,-10278.1194,0.01,16.6489,0.2497,4.7484
124,-10278.1194,0.0088,16.6489,0.2497,4.786
125,-10131.1402,0.0075,16.6489,0.2497,4.8247
126,-10115.7262,0.01,18.3873,0.2497,4.8683
127,-10108.9773,0.0075,6.3166,0.2497,4.9071
128,-9978.4203,0.0088,0.0,0.2497,4.9449
129,-9937.3002,0.01,0.0,0.2497,4.9791
130,-9937.3002,0.0075,0.0,0.2497,5.0142
131,-9937.3002,0.0038,0.0,0.2497,5.0476
132,-9885.5099,0.0062,0.0,0.2497,5.0814
133,-9885.5099,0.005,13.9007,0.2497,5.1203
134,-9885.5099,0.0038,13.9007,0.2497,5.1537
135,-9828.4422,0.005,13.9007,0.2497,5.1877
136,-9801.6873,0.0062,0.0,0.2497,5.2248
137,-9792.9476,0.0038,0.0,0.2497,5.2582
138,-9776.4352,0.0075,0.0,0.2497,5.2922
139,-9775.057,0.0088,0.8648,0.2496,5.3354
140,-9775.057,0.0075,0.0,0.2496,5.3743
141,-9678.9999,0.0075,0.0,0.2496,5.4124
142,-9670.3363,0.0075,0.0,0.2496,5.4448
143,-9670.3363,0.0038,0.0,0.2496,5.477
144,-9649.6721,0.0038,0.0,0.2496,5.5093
145,-9649.6721,0.0038,0.0,0.2496,5.5361
146,-9649.6721,0.0025,0.0,0.2496,5.5681
147,-9538.0563,0.0075,0.0,0.2496,5.6003
148,-9517.6986,0.0088,34.8452,0.2496,5.6283
149,-9475.3727,0.0113,0.0,0.2496,5.6562
150,-9374.7201,0.0125,10.1032,0.2496,5.6932
151,-9326.1768,0.0138,0.0,0.2496,5.7292
152,-9326.1768,0.0075,0.0,0.2496,5.7665
153,-9318.978,0.0075,0.0,0.2496,5.8046
154,-9281.6724,0.005,0.0,0.2496,5.8378
155,-9281.6724,0.0038,0.0,0.2496,5.8739
156,-9223.0032,0.0038,0.0,0.2496,5.9166
157,-9223.0032,0.0038,0.0,0.2496,5.9551
158,-9223.0032,0.0025,0.0,0.2496,5.994
159,-9201.3334,0.005,0.0,0.2496,6.0251
160,-9174.0334,0.0075,3.221,0.2496,6.0585
161,-9162.1618,0.0075,9.1859,0.2496,6.0947
162,-9140.1048,0.0088,0.0,0.2496,6.1278
163,-9140.1048,0.0088,0.0,0.2496,6.1618
164,-9140.1048,0.005,0.0,0.2496,6.2002
165,-9140.1048,0.0025,0.0,0.2496,6.238
166,-9048.2732,0.0025,0.0,0.2496,6.2773
167,-9024.7437,0.0038,0.0,0.2496,6.3102
168,-9024.7437,0.0038,10.5588,0.2496,6.3443
169,-8976.4798,0.005,10.5588,0.2496,6.3875
170,-8946.7873,0.0075,0.0,0.2496,6.4261
171,-8920.1954,0.0088,14.0923,0.2496,6.465
172,-8894.5913,0.0088,12.6622,0.2496,6.5043
173,-8890.9031,0.01,4.0056,0.2496,6.5432
174,-8890.9031,0.0088,0.0,0.2496,6.5864
175,-8890.9031,0.0062,0.0,0.2496,6.6248
176,-8855.4855,0.0062,0.0,0.2496,6.6636
177,-8855.4855,0.0038,0.0,0.2496,6.6987
178,-8847.3731,0.005,0.0,0.2496,6.7372
179,-8847.3731,0.005,2.8312,0.2496,6.7823
180,-8847.3731,0.005,2.8312,0.2496,6.8207
181,-8847.3731,0.0025,2.8312,0.2496,6.8598
182,-8846.5231,0.0038,2.8312,0.2496,6.9008
183,-8846.5231,0.0012,0.0,0.2496,6.9374
184,-8841.3787,0.0025,0.0,0.2496,6.9784
185,-8789.2614,0.005,0.0,0.2496,7.0169
186,-8784.7933,0.0062,19.0292,0.2496,7.0537
187,-8745.72,0.0062,0.0,0.2496,7.0893
188,-8730.9936,0.0075,0.0,0.2496,7.1243
189,-8710.1106,0.0075,0.0,0.2496,7.1631
190,-8632.3042,0.0075,0.0,0.2496,7.2019
191,-8626.1791,0.0075,11.7068,0.2496,7.2412
192,-8610.4898,0.0075,0.0,0.2496,7.2837
193,-8610.4898,0.0062,0.0,0.2496,7.3177
194,-8586.5122,0.0062,0.0,0.2496,7.3563
195,-8586.5122,0.0038,0.0,0.2496,7.3893
196,-8561.3879,0.0038,0.0,0.2496,7.423
197,-8561.3879,0.0025,0.0,0.2496,7.4627
198,-8561.3879,0.0025,0.0,0.2496,7.5012
199,-8561.3879,0.0012,0.0,0.2496,7.5366
200,-8561.3879,0.0012,0.0,0.2496,7.5812
