step,best_objective,avg_acceptance_rate,std,temperature,runtime
0,-49920.9217,0.7563,1896.6572,3793.3144,0.0157
1,-47118.5168,0.8162,1742.583,1116.6904,0.0706
2,-45329.063,0.8262,992.0662,912.0302,0.1348
3,-43887.9185,0.8075,607.2224,611.7817,0.1679
4,-42550.5948,0.7962,601.6759,519.7976,0.1875
5,-41276.5876,0.7825,513.7901,437.1807,0.2218
6,-39231.7083,0.7288,504.388,386.8548,0.2589
7,-37864.1224,0.685,632.3864,364.6947,0.2956
8,-37561.1078,0.665,767.8334,352.8076,0.3245
9,-36966.2616,0.6312,552.5719,324.5121,0.3545
10,-35507.3847,0.5938,446.8442,284.5628,0.3883
11,-34827.7137,0.5788,596.3534,272.8126,0.4184
12,-34254.8848,0.5462,712.4515,266.7214,0.4502
13,-33598.8502,0.5188,535.1836,253.3692,0.4854
14,-32994.1074,0.5088,476.6228,237.7253,0.5176
15,-32425.0225,0.5038,464.6871,224.4523,0.5508
16,-31439.8978,0.4825,417.4693,209.9851,0.5929
17,-30625.5096,0.475,470.1519,201.9098,0.626
18,-30133.4291,0.4562,370.6661,188.2096,0.6601
19,-29032.601,0.4238,467.3328,182.8025,0.6927
20,-28676.0291,0.3875,492.8622,178.672,0.7266
21,-28427.0713,0.3775,268.124,157.7881,0.7677
22,-27284.8803,0.3612,241.1226,140.3093,0.8008
23,-26651.8031,0.33,306.8338,134.6559,0.8379
24,-26278.2081,0.3062,249.4406,126.2183,0.872
25,-25937.0586,0.2862,213.1948,116.2989,0.9052
26,-25574.0715,0.2612,263.5075,112.4585,0.9431
27,-25032.9557,0.2438,293.0714,110.1113,0.98
28,-24602.5922,0.2325,234.5889,106.1425,1.0135
29,-24034.4054,0.2162,199.3261,100.8042,1.0521
30,-23727.1687,0.2225,173.6361,94.6207,1.0848
31,-23533.4172,0.2138,242.9134,92.7537,1.1241
32,-23177.7457,0.1962,138.937,84.4308,1.1615
33,-22285.1631,0.1888,143.0646,79.3466,1.1992
34,-21724.6428,0.1925,293.4619,78.8743,1.2414
35,-21305.8331,0.18,202.3721,77.4647,1.2768
36,-21040.3931,0.1725,232.5015,76.6362,1.3128
37,-20772.5802,0.175,126.3137,72.0813,1.3486
38,-20660.3659,0.1662,161.6498,70.2981,1.3814
39,-19874.1845,0.1588,144.0646,68.122,1.4199
40,-19630.5379,0.1538,226.3786,67.6334,1.4513
41,-19193.6592,0.1462,83.9686,59.5869,1.4849
42,-18837.5094,0.1325,136.1911,58.3736,1.5272
43,-18560.5823,0.1225,112.5953,56.5706,1.5655
44,-18258.1315,0.1125,106.6893,54.8211,1.6025
45,-18030.8469,0.1038,102.4703,53.2001,1.6393
46,-17934.6709,0.0925,86.5839,51.0064,1.6783
47,-17572.1942,0.0838,85.6383,49.263,1.7204
48,-17360.7444,0.085,124.1272,48.7958,1.7584
