step,best_objective,avg_acceptance_rate,std,temperature,runtime
0,-51770.8206,0.65,1582.2858,3164.5715,0.0162
1,-50004.6928,0.745,1223.905,449.3918,0.0599
2,-48057.1228,0.755,605.3073,408.2818,0.0966
3,-46216.7318,0.7563,677.0962,388.3659,0.1333
4,-44291.1919,0.75,486.5878,347.3303,0.1722
5,-42722.4457,0.7637,736.1929,338.7915,0.2051
6,-40995.3414,0.7275,521.0958,319.2165,0.243
7,-40067.5913,0.7062,578.451,305.5131,0.2797
8,-39322.9456,0.6575,515.7614,288.073,0.3171
9,-38428.6005,0.615,404.819,256.4368,0.3524
10,-37646.0795,0.5675,526.278,245.6332,0.3847
11,-36542.9109,0.5475,380.4977,221.0247,0.4191
12,-35812.1162,0.4962,426.7486,208.6992,0.4571
13,-34738.8666,0.475,322.9958,186.3082,0.4941
14,-33719.3455,0.4725,516.9262,182.461,0.5328
15,-33098.8983,0.4512,319.358,168.3108,0.5711
16,-32133.205,0.4162,288.6178,154.4307,0.6091
17,-31399.9467,0.4,314.022,146.5454,0.6469
18,-30681.1428,0.3825,344.7799,141.6507,0.6851
19,-30019.4135,0.355,381.4548,138.4881,0.7225
20,-29463.7413,0.3375,278.0132,131.3967,0.7613
21,-28901.4484,0.3138,250.8162,123.7671,0.7991
22,-28412.8642,0.305,275.5077,119.2719,0.8323
23,-28142.1462,0.2988,251.3527,114.2636,0.8695
24,-27600.089,0.285,196.9952,105.8738,0.9047
25,-27113.6803,0.2862,190.6404,99.1439,0.9426
26,-26671.6434,0.2725,164.9053,91.2656,0.9831
27,-26146.3239,0.2588,213.7562,88.5994,1.0209
28,-25534.8518,0.2388,303.3164,87.7788,1.0598
29,-25238.1714,0.22,224.4704,85.9449,1.0997
30,-24662.4504,0.1912,137.4712,79.3888,1.1353
31,-24202.8982,0.1912,200.1337,77.9014,1.1749
32,-23582.0214,0.1988,270.6395,77.3373,1.212
33,-23376.9429,0.185,206.3383,76.077,1.2511
34,-23144.0633,0.1875,114.8516,70.0054,1.2905
35,-22659.4848,0.1975,158.4854,68.2328,1.3282
36,-22280.9974,0.1912,212.3851,67.5315,1.3707
37,-22021.4641,0.165,141.3721,65.3525,1.4102
38,-21709.4775,0.1625,98.0477,60.4591,1.4492
39,-21580.0179,0.1425,129.6674,58.8482,1.4892
40,-21220.4502,0.1262,71.7202,51.8846,1.5337
41,-20643.5463,0.1138,129.1836,51.1567,1.574
42,-20248.8899,0.1138,154.6657,50.7876,1.6076
43,-20001.8507,0.1075,160.7517,50.4678,1.6467
44,-19832.7591,0.1062,105.5586,49.4345,1.6809
45,-19516.2227,0.1075,82.7394,47.5158,1.7189
46,-19360.1124,0.1062,117.1331,46.9168,1.759
47,-18918.7907,0.0988,61.7488,43.3194,1.7986
48,-18538.082,0.1062,158.0709,43.1617,1.836
49,-18258.2346,0.1075,116.1926,42.7469,1.8747
50,-18044.1037,0.0988,97.1775,42.0621,1.9092
51,-17672.3896,0.1038,80.8028,41.0346,1.9424
52,-17489.4326,0.1025,180.6218,40.9456,1.9786
53,-17314.9043,0.0962,58.6665,38.5418,2.0107
54,-17211.2267,0.085,59.5099,36.8067,2.0488
55,-17034.619,0.0738,41.6918,33.2545,2.0927
56,-16742.177,0.0662,62.4997,32.5849,2.1316
57,-16502.852,0.07,116.3257,32.4966,2.1727
58,-16102.53,0.0688,92.5017,32.3145,2.2065
59,-15860.4728,0.0713,113.0496,32.2182,2.2445
60,-15677.3533,0.08,88.2414,32.0123,2.2804
61,-15589.3158,0.0738,87.5664,31.7841,2.3181
62,-15573.3436,0.0613,62.5706,31.2258,2.3559
63,-15402.135,0.0525,8.233,4.2965,2.3887
64,-15241.0957,0.0488,51.4825,4.2962,2.4285
65,-14983.6913,0.045,65.3653,4.2961,2.4644
66,-14941.0634,0.0425,82.9837,4.296,2.5011
67,-14829.5795,0.0438,14.5374,4.287,2.54
68,-14588.0979,0.0425,38.1244,4.2865,2.5784
69,-14530.9811,0.0388,83.8932,4.2865,2.6184
70,-14247.613,0.0412,19.3384,4.283,2.6514
71,-14135.5789,0.0425,76.3093,4.283,2.6846
