step,best_objective,avg_acceptance_rate,std,temperature,runtime
0,-48936.8384,0.6437,1453.3321,2906.6642,0.0155
1,-48142.6914,0.7412,1501.6528,812.5996,0.0408
2,-46085.2579,0.7425,491.4651,381.0316,0.0712
3,-45122.0894,0.7325,652.6206,363.0357,0.1007
4,-43593.5123,0.7288,475.2299,325.1973,0.1257
5,-41538.3239,0.7225,685.9006,316.2511,0.1516
6,-39841.7258,0.6775,573.7886,302.4405,0.1775
7,-39388.1124,0.645,706.4898,294.9818,0.2046
8,-38751.2929,0.6025,245.2724,182.5243,0.232
9,-37367.0868,0.55,293.5193,166.8761,0.2626
10,-36574.6535,0.5138,504.1137,164.3497,0.2921
11,-35487.9381,0.4775,405.3614,159.6683,0.3216
12,-34383.8635,0.4338,396.6971,155.1178,0.3498
13,-33690.1969,0.4162,331.1815,148.2108,0.3793
14,-32733.8512,0.3975,306.493,140.9978,0.4046
15,-32102.4924,0.39,378.6111,137.7985,0.4361
16,-31273.5302,0.3812,362.1159,134.4795,0.4687
17,-30513.5352,0.3838,275.5324,127.8552,0.5048
18,-29920.6582,0.375,291.4766,123.2139,0.5396
19,-29219.4348,0.355,344.2564,120.7568,0.5729
20,-28317.6087,0.325,276.0318,116.4981,0.6061
21,-27868.7365,0.2988,266.3524,112.5227,0.6411
22,-27440.5064,0.2675,293.8279,110.0137,0.6771
23,-27048.4418,0.245,150.1443,95.6237,0.716
24,-26610.2452,0.2312,169.3738,89.7642,0.7553
25,-26332.7331,0.2225,161.3977,84.6736,0.7942
26,-25922.068,0.2225,141.5137,78.9163,0.8286
27,-25182.8198,0.22,166.9886,76.1781,0.8628
28,-24733.1674,0.2162,212.2255,75.0057,0.8954
29,-24141.5217,0.2188,170.3491,72.9266,0.9244
30,-23712.1541,0.2188,227.4683,72.1265,0.9559
31,-23181.0597,0.2025,121.2031,67.3485,0.9886
32,-22875.0555,0.1962,195.2018,66.4779,1.0181
33,-22414.805,0.1838,125.241,63.5167,1.0508
34,-22169.9829,0.175,172.7274,62.5926,1.0887
35,-21813.4794,0.1512,137.8378,60.9595,1.1264
36,-21616.1583,0.1462,134.6814,59.5512,1.164
37,-21246.2083,0.1362,89.2044,55.4566,1.2019
38,-20807.1313,0.1312,129.1857,54.4482,1.24
39,-20528.1437,0.12,189.8993,54.1585,1.272
40,-20127.3731,0.1325,123.371,53.2117,1.31
41,-19829.3483,0.1162,137.6462,52.5177,1.3478
42,-19579.06,0.1175,104.3232,51.1812,1.3806
43,-19431.915,0.1112,106.6809,50.0397,1.4229
44,-19157.2636,0.1025,53.3796,43.0509,1.4602
45,-18983.2561,0.0938,100.8234,42.4447,1.4937
46,-18535.7575,0.1013,88.5025,41.6657,1.5316
47,-18239.3394,0.1013,142.5019,41.4775,1.568
48,-18079.3284,0.1013,79.2054,40.424,1.6054
49,-17898.7117,0.1,63.9066,38.6488,1.6379
50,-17539.0216,0.0962,79.3213,37.8626,1.6719
51,-17462.383,0.0875,135.21,37.7189,1.7144
52,-17273.0556,0.0725,30.7859,29.1699,1.7488
53,-17162.2166,0.0688,100.3753,29.0741,1.7875
54,-16925.7316,0.0662,65.1522,28.7474,1.8233
55,-16817.9889,0.06,80.5795,28.587,1.8577
56,-16662.4836,0.07,47.9576,27.9205,1.8988
57,-16428.9537,0.0675,67.6131,27.6672,1.9365
58,-16226.5695,0.065,90.9008,27.5695,1.9754
59,-16055.863,0.0625,58.934,27.231,2.0131
60,-15661.0219,0.065,65.8962,27.0079,2.0545
61,-15423.1223,0.0562,143.5928,26.9861,2.0925
62,-15029.0681,0.0575,78.682,26.8711,2.1303
63,-14943.8355,0.0488,121.414,26.8396,2.1649
64,-14893.7056,0.055,44.4273,26.302,2.1988
65,-14761.0281,0.0538,34.6758,25.1615,2.2402
66,-14551.3188,0.0488,54.1618,24.9077,2.2812
67,-14467.3592,0.0438,87.6582,24.8548,2.3204
68,-14356.9772,0.0463,45.3732,24.5178,2.3513
69,-14247.2462,0.04,46.7035,24.209,2.3852
70,-13948.3588,0.035,58.3577,24.077,2.4247
71,-13907.0359,0.0363,102.6753,24.0561,2.461
72,-13869.2261,0.0388,39.0907,23.6708,2.4992
73,-13649.8167,0.04,13.7693,17.1735,2.5379
74,-13592.226,0.0375,67.0314,17.1514,2.5742
75,-13523.246,0.0412,59.2534,17.1214,2.6154
76,-13506.8743,0.0363,38.0109,16.9986,2.6526
77,-13416.1702,0.0325,16.3923,15.7703,2.6868
78,-13264.1176,0.0288,42.0293,15.718,2.7265
79,-13245.976,0.0325,58.6958,15.7012,2.7592
80,-13206.6928,0.0312,15.4276,14.7253,2.7975
81,-12997.3068,0.0338,28.8251,14.6074,2.8409
82,-12973.662,0.035,78.7415,14.6013,2.8813
83,-12886.1087,0.04,11.2096,12.7052,2.9215
84,-12721.8138,0.0388,34.9297,12.6584,2.9539
85,-12688.8004,0.0312,62.2,12.6505,2.9878
86,-12688.8004,0.025,0.0,12.6505,3.0247
87,-12632.6782,0.0275,0.0,12.6505,3.0624
88,-12513.4063,0.025,27.7206,12.5865,3.1012
89,-12408.1429,0.0288,43.9536,12.5721,3.1426
90,-12343.8493,0.0312,39.9478,12.5503,3.1776
91,-12243.8952,0.0325,17.0166,12.2527,3.2187
92,-12134.0707,0.0288,43.9985,12.2361,3.2547
93,-12103.2649,0.0262,48.8444,12.2254,3.2904
94,-12078.5958,0.02,15.2732,11.9131,3.3333
95,-12021.0028,0.02,18.6726,11.793,3.3699
96,-11930.4055,0.02,43.414,11.7838,3.4103
97,-11918.0226,0.0175,21.3919,11.7071,3.4443
98,-11858.8097,0.0175,9.1785,10.9274,3.4818
99,-11818.9627,0.0188,17.8781,10.8423,3.5233
100,-11759.1923,0.0212,10.196,10.3829,3.5608
101,-11749.1081,0.0212,21.1857,10.3323,3.6001
102,-11718.5294,0.0213,8.6235,9.6425,3.647
103,-11672.5289,0.0188,9.5584,9.2476,3.6889
104,-11521.3866,0.0213,20.3649,9.2159,3.7334
105,-11520.9275,0.0162,56.3716,9.2142,3.7714
106,-11403.5015,0.0188,0.0,9.2142,3.8063
107,-11365.0437,0.02,48.1771,9.2118,3.839
108,-11333.333,0.0238,14.0281,9.1107,3.8736
109,-11319.1109,0.0188,14.1603,8.9996,3.9152
110,-11298.0506,0.0225,25.5088,8.9851,3.9754
111,-11264.3849,0.02,15.5553,8.9095,4.0109
112,-11251.6601,0.0188,15.7823,8.8471,4.0567
113,-11160.5285,0.0162,0.6395,0.0899,4.0811
114,-11119.6983,0.0162,34.4949,0.0899,4.1162
115,-11118.4691,0.0125,4.2781,0.0899,4.154
116,-11078.8567,0.0138,0.0,0.0899,4.1874
117,-11020.9147,0.0175,15.4292,0.0899,4.2228
118,-10978.2335,0.0162,21.1504,0.0899,4.2615
119,-10937.3565,0.02,9.9916,0.0899,4.2962
120,-10800.0034,0.0212,13.0878,0.0899,4.3305
121,-10687.542,0.0213,58.5691,0.0899,4.3687
122,-10687.542,0.015,41.3228,0.0899,4.4078
123,-10652.2157,0.015,41.3228,0.0899,4.4471
124,-10619.9364,0.0112,9.3697,0.0899,4.4863
125,-10564.3251,0.0125,4.3819,0.0899,4.5254
126,-10484.0003,0.0112,7.797,0.0899,4.5706
127,-10461.9657,0.0138,37.4812,0.0899,4.61
128,-10442.7423,0.0125,8.3362,0.0899,4.6494
129,-10428.3223,0.0112,0.0,0.0899,4.6812
130,-10332.2877,0.01,0.0,0.0899,4.714
131,-10299.2754,0.0088,44.5597,0.0899,4.7529
132,-10216.0894,0.01,0.0,0.0899,4.7826
133,-10199.0086,0.01,25.0833,0.0899,4.8166
134,-10199.0086,0.0088,0.0,0.0899,4.8597
135,-10151.8141,0.01,0.0,0.0899,4.8928
136,-10147.1256,0.0112,14.2058,0.0899,4.9286
137,-10147.1256,0.0075,0.6506,0.0899,4.962
138,-10139.8009,0.0075,0.6506,0.0899,4.9962
139,-10138.6844,0.0088,0.0,0.0899,5.0349
140,-10011.8346,0.0075,0.0,0.0899,5.0682
141,-10006.6974,0.0062,16.1417,0.0899,5.1036
142,-10002.918,0.0075,0.0,0.0899,5.1447
143,-9979.4025,0.0075,0.0,0.0899,5.1833
144,-9978.4392,0.0075,0.0,0.0899,5.2232
145,-9955.6985,0.0062,0.0,0.0899,5.2581
146,-9950.3835,0.0062,0.0,0.0899,5.2932
147,-9917.5043,0.0075,0.0,0.0899,5.3319
148,-9836.2631,0.0087,2.769,0.0899,5.3652
149,-9712.7865,0.0088,38.8042,0.0899,5.4
150,-9704.4582,0.0088,0.0,0.0899,5.4384
151,-9679.5653,0.0088,0.0,0.0899,5.4761
152,-9624.587,0.0088,0.0,0.0899,5.5155
153,-9529.5929,0.0088,25.6915,0.0899,5.5467
154,-9452.5167,0.0112,38.3466,0.0899,5.577
