step,best_objective,avg_acceptance_rate,std,temperature,runtime
0,-49290.9952,0.7125,1833.9422,3667.8843,0.0141
1,-47735.5739,0.7925,1962.6689,1284.6886,0.0514
2,-46095.2501,0.7837,652.0192,528.2289,0.0895
3,-44331.2566,0.7737,540.2355,445.6539,0.1257
4,-43296.2538,0.7612,649.3143,417.2281,0.1597
5,-42259.677,0.7688,411.2875,337.5173,0.1918
6,-40908.1182,0.6988,408.7644,300.7833,0.2299
7,-40307.835,0.6662,532.5653,285.3801,0.2667
8,-38090.6766,0.6387,425.5796,259.2867,0.325
9,-36118.4404,0.6025,699.9712,254.6291,0.3596
10,-35229.7426,0.5462,506.0885,242.581,0.4024
11,-34732.2892,0.5462,492.9626,230.869,0.4218
12,-33621.8457,0.51,502.8865,221.7351,0.4488
13,-32898.7058,0.48,474.7459,212.1954,0.4864
14,-32346.3178,0.4488,557.7298,207.0703,0.5247
15,-31601.8183,0.425,378.0122,192.7098,0.5595
16,-30702.0922,0.3875,334.8155,177.3827,0.593
17,-30097.0945,0.3675,377.5487,169.5194,0.6304
18,-29290.8457,0.3588,352.9648,161.6178,0.6689
19,-28846.4534,0.3438,404.2663,157.2168,0.7018
20,-27596.4181,0.3375,303.009,148.2751,0.7438
21,-27203.537,0.3338,470.2149,146.3081,0.777
22,-26849.3541,0.3288,470.4014,144.4528,0.8107
23,-26145.5159,0.3075,261.5967,134.8215,0.8538
24,-25785.5379,0.3038,252.3436,126.854,0.8924
25,-25135.1486,0.2862,310.5118,123.4091,0.9309
26,-24517.2609,0.2662,302.4909,120.1677,0.9676
27,-24287.7951,0.2462,306.4745,117.4663,1.0029
28,-23995.3352,0.2338,254.75,113.4199,1.0406
29,-23359.4871,0.2238,172.5118,103.107,1.0739
30,-23006.5747,0.2175,324.9956,101.9936,1.1129
31,-22611.9428,0.2062,129.6805,87.6884,1.1457
32,-22345.8975,0.205,199.7953,85.3569,1.1829
33,-21929.2523,0.1962,149.1271,80.5007,1.2244
34,-21623.6236,0.1813,157.8084,77.3019,1.2573
35,-21381.1444,0.1675,228.6377,76.4338,1.2918
36,-20886.0689,0.1675,122.5756,71.6307,1.3362
37,-20620.6232,0.16,161.6158,69.9465,1.3755
38,-20285.3046,0.1425,132.7479,67.3193,1.4146
39,-20084.8776,0.1512,124.2203,64.8131,1.4465
40,-19811.847,0.1562,108.9243,61.5083,1.4837
41,-19570.6077,0.1488,107.5144,58.6343,1.5253
42,-19141.7479,0.14,82.1618,53.7216,1.5634
43,-18925.8703,0.1288,109.7463,52.254,1.6033
44,-18731.6843,0.1125,110.8846,51.0609,1.641
45,-18463.1738,0.1025,86.9367,49.0822,1.6793
46,-18124.2844,0.1012,104.7178,48.1722,1.7171
47,-18080.9807,0.0875,122.1061,47.6413,1.7552
48,-17975.1358,0.0912,32.9013,32.1075,1.7972
49,-17867.3654,0.0812,33.3982,27.9922,1.8348
50,-17695.7047,0.0787,44.5371,26.9934,1.8737
51,-17467.9418,0.0713,78.9086,26.8378,1.9112
52,-17291.0174,0.0825,71.0201,26.6477,1.9503
53,-17156.7734,0.075,55.4032,26.2071,1.9935
54,-16752.7318,0.0775,45.975,25.5514,2.0323
55,-16455.1245,0.0825,137.0265,25.5278,2.0712
56,-16208.4601,0.0812,90.2809,25.4409,2.1089
57,-16141.8904,0.0738,87.676,25.3486,2.1493
58,-16037.989,0.0713,45.3358,24.7582,2.1879
59,-15883.8708,0.0638,48.3137,24.3256,2.2266
60,-15795.5513,0.0488,53.7397,24.0595,2.2658
61,-15615.8531,0.0438,40.8424,23.6121,2.3034
62,-15512.3514,0.04,59.6602,23.4903,2.3442
63,-15378.3813,0.0388,53.1283,23.3355,2.3824
64,-15269.0201,0.0412,76.0246,23.2853,2.4206
65,-15100.1794,0.0412,47.3003,23.0677,2.4552
66,-14961.7276,0.0412,73.5409,23.0116,2.4934
67,-14864.0493,0.0412,37.5182,22.5993,2.5322
68,-14786.0185,0.045,58.7991,22.4983,2.5664
69,-14671.5486,0.0475,28.4348,21.5801,2.5999
70,-14409.689,0.0475,41.7658,21.3142,2.6389
71,-14220.666,0.0462,87.2863,21.2861,2.6722
72,-13965.4089,0.05,78.1236,21.2482,2.7117
73,-13736.3645,0.0488,79.4505,21.2097,2.75
74,-13638.8883,0.0412,86.1281,21.1804,2.79
75,-13560.4031,0.0425,30.069,20.6109,2.8337
76,-13445.0225,0.0388,53.6456,20.5162,2.8723
77,-13387.6843,0.035,46.2313,20.3836,2.9086
78,-13298.8121,0.0438,30.0685,19.9636,2.9423
79,-13175.6407,0.0475,45.6825,19.8252,2.9762
80,-13089.8285,0.0475,46.1057,19.6837,3.0159
81,-13073.8741,0.0488,36.4083,19.4064,3.0491
82,-13048.1206,0.0488,17.932,17.3662,3.0867
83,-12744.6467,0.0363,10.5041,12.2395,3.1237
84,-12608.7772,0.035,122.2671,12.2387,3.1575
85,-12363.5451,0.0338,43.5338,12.2203,3.1974
86,-12328.1354,0.0312,73.5059,12.2167,3.2309
87,-12328.1354,0.0238,24.2705,12.1231,3.2693
88,-12283.5383,0.0275,24.2705,12.1231,3.3129
89,-12111.9866,0.025,18.4162,11.9409,3.3488
90,-12029.0589,0.02,66.0354,11.9375,3.3884
91,-11976.3581,0.025,31.1548,11.9112,3.422
92,-11905.8089,0.0288,17.202,11.7215,3.4562
93,-11795.5796,0.0238,40.5214,11.7057,3.4984
94,-11716.4357,0.0213,41.9697,11.694,3.5382
95,-11705.8289,0.0213,52.5024,11.6886,3.5779
96,-11705.8289,0.0138,27.9187,11.653,3.6168
97,-11654.1432,0.015,0.0,11.653,3.6567
98,-11558.2208,0.0188,21.651,11.5996,3.7005
99,-11558.2208,0.0162,44.7229,11.5921,3.7391
100,-11507.6276,0.0188,44.7229,11.5921,3.7806
101,-11333.7282,0.025,18.5079,11.4883,3.8193
102,-11324.4703,0.0238,74.1093,11.4862,3.8591
103,-11259.5506,0.0212,6.5919,9.2237,3.9004
104,-11207.6247,0.0262,20.8735,9.1907,3.9415
105,-10968.9968,0.025,30.5012,9.1779,3.9852
106,-10968.1189,0.0188,82.4279,9.1772,4.0199
107,-10941.7829,0.02,0.0,9.1772,4.0593
108,-10844.8274,0.0213,10.1178,8.9164,4.0979
109,-10761.1082,0.0213,33.9312,8.9097,4.1365
110,-10688.2023,0.0213,16.0348,8.8466,4.1755
111,-10629.1825,0.0262,42.0234,8.8432,4.2116
112,-10567.1081,0.025,25.4257,8.8242,4.2517
113,-10349.7227,0.025,26.3721,8.8081,4.2859
114,-10299.4129,0.025,90.5438,8.8077,4.3206
115,-10299.4129,0.0213,21.0923,8.7765,4.3573
116,-10289.689,0.0175,0.0,8.7765,4.3932
117,-10287.8517,0.015,4.4113,6.9064,4.4321
118,-10283.7811,0.0125,0.0,6.9064,4.472
119,-10173.9086,0.0088,0.8552,0.4933,4.512
120,-10135.2935,0.0112,0.0,0.4933,4.5529
121,-10097.6008,0.0125,15.5736,0.4933,4.5881
122,-10085.6628,0.015,15.0625,0.4933,4.6229
123,-10055.494,0.015,2.6708,0.4932,4.6618
124,-10055.494,0.0137,3.7869,0.4931,4.6979
125,-10022.8954,0.0125,3.7869,0.4931,4.7326
126,-9987.291,0.0112,6.2616,0.4931,4.7711
127,-9961.5624,0.01,10.4371,0.4931,4.8063
128,-9961.5624,0.0075,8.33,0.4931,4.846
129,-9850.402,0.0088,8.33,0.4931,4.8785
130,-9844.0636,0.0075,0.0,0.4931,4.915
131,-9749.6715,0.0075,0.0,0.4931,4.9558
132,-9745.247,0.0062,23.5045,0.4931,4.9942
