step,best_objective,avg_acceptance_rate,std,temperature,runtime
0,-50899.5862,0.675,1042.8763,2085.7525,0.0119
1,-49272.3183,0.7362,1004.5609,533.7192,0.0406
2,-47296.3649,0.7675,687.1398,476.4409,0.0777
3,-44279.0749,0.77,745.1479,450.6998,0.113
4,-43371.5112,0.7663,762.8498,431.5315,0.1493
5,-41991.029,0.7588,653.9623,405.8703,0.1812
6,-41203.5822,0.7288,666.4074,385.8809,0.2158
7,-39941.635,0.6938,474.2544,337.6098,0.2563
8,-39345.4958,0.6525,602.4266,320.406,0.2899
9,-38609.4898,0.62,463.2624,287.3974,0.3232
10,-37901.191,0.6075,452.1218,262.0807,0.3549
11,-36042.0162,0.5875,295.7439,206.5727,0.3889
12,-34760.5731,0.5388,705.5407,204.5151,0.4221
13,-34472.497,0.5175,360.2993,189.6223,0.453
14,-33107.8166,0.485,372.5548,179.2571,0.4885
15,-31717.4007,0.4562,551.0698,176.5328,0.5249
16,-31198.0518,0.4188,409.1233,170.3361,0.5607
17,-30455.2363,0.4087,276.8188,154.0857,0.5942
18,-30080.979,0.38,302.9478,145.446,0.6271
19,-29592.9571,0.3512,315.5012,139.3662,0.6602
20,-29275.2161,0.33,182.8101,116.8432,0.6957
21,-28972.708,0.3175,155.5352,99.0067,0.7295
22,-28703.5451,0.2938,311.3384,97.6936,0.7638
23,-28081.2566,0.2788,207.2572,93.7409,0.7976
24,-27503.8022,0.2688,205.2764,90.3712,0.8316
25,-27143.2798,0.2475,191.8733,86.8889,0.8655
26,-26721.7628,0.23,132.5418,78.7859,0.8989
27,-26463.9328,0.2212,173.5699,76.3011,0.9328
28,-25964.5078,0.2075,152.8361,73.2106,0.9668
29,-25422.0286,0.1962,237.8565,72.5244,0.9996
30,-25051.5639,0.1862,221.9054,71.7436,1.0309
31,-24700.0638,0.1775,134.034,68.5888,1.0565
32,-24062.7192,0.1775,148.7994,66.6995,1.0817
33,-23574.3933,0.1763,231.017,66.2384,1.1072
34,-22626.7102,0.1788,194.5028,65.4943,1.1324
35,-22363.6098,0.1713,272.2004,65.2301,1.157
36,-22028.2883,0.1725,98.0733,60.2429,1.1871
37,-21615.0813,0.1713,152.8511,59.2171,1.2174
38,-21274.2668,0.1612,151.9222,58.2466,1.2479
39,-20960.6353,0.155,203.7108,57.8834,1.278
40,-20604.0461,0.1612,109.5509,55.7446,1.3083
41,-20004.4067,0.1575,138.3678,54.7831,1.3393
42,-19745.6622,0.1462,187.5507,54.4258,1.3656
43,-19200.8549,0.1425,103.2977,52.5194,1.4002
44,-18761.4098,0.1338,141.6457,51.877,1.4261
45,-18396.9049,0.1125,143.9506,51.3232,1.4489
46,-18177.8354,0.095,136.1335,50.7817,1.4774
